Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo,comment
1,10:52:15,6352.499999,0,-1.147884805,0.04455532,422.7117559,1,0,48.32950974,220.05867,0,0,0,0.780378979,NA,NA,0.276498563,0.87,0.92,0,0.87,-0.709612105,NA,1,NA,0,0.5,NA,1.282546485,2.178616492,24.03121758,2,4.644859791,1,9.289719582,24.57479477,24.03121758,24.15236092,399.9311829,400.3531494,9.798648834,10.64262867,24.41304779,26.51579857,300.693634,2.307207346,402.3538208,77.23457336,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50346817,0.001282546,297.1812176,297.7247948,0.369153167,-0.191142186,3.000595376,38.85041693,28.20778826,24.30300617,3.049923428,0.044342644,0.821978885,2.227944543,0.027733182,32.64796212,1.05584721,25.90688371,400.5199623,-7.42488e-4,171.7291603,2.007270391,0,0,1.281428673,24_light
2,11:02:47,6984.499999,0,3.133330743,0.043118212,264.9488592,2,1,48.32950974,220.05867,59.7512207,177.1832123,63.58321381,0.780378979,0.662771546,0.641144254,0.276498563,0.87,0.92,9.709600449,0.8748548,0.006500234,0.967368406,0.267457675,0.241983748,502.365448,0.5,140.8904316,1.274774731,2.237850943,23.99448395,2,4.644859791,1,9.289719582,23.68498993,23.99448395,22.98012924,399.8297729,397.4085083,8.952389717,9.792058945,23.52322197,25.72953033,300.6641235,502.365448,392.5173035,77.21882629,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.503320618,0.001274775,297.1444839,296.8349899,80.37846988,0.078967397,2.993982242,38.77269813,28.98063919,23.83973694,2.966262939,0.042919004,0.756131299,2.21013164,0.026842204,20.45903993,0.666691461,23.74880148,396.9531666,0.0018746,171.7291603,439.4968236,117.4319916,0.881619979,0.249669058,24_light
3,11:05:20,7137.499999,0,4.14208147,0.042514762,225.5597044,3,2,48.32950974,220.05867,55.71362305,165.9675598,64.1386261,0.780378979,0.664310163,0.613547213,0.276498563,0.87,0.92,9.8670187,0.874933509,0.006328197,0.923585467,0.329131369,0.325913753,698.1680298,0.5,187.3928428,1.255783142,2.235799718,23.97561455,2,4.644859791,1,9.289719582,23.64486313,23.97561455,22.9810791,399.904541,396.8180542,8.94728756,9.77438736,23.56744003,25.74604607,300.6913147,698.1680298,266.0357971,77.22125244,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.503456573,0.001255783,297.1256145,296.7948631,111.7068823,0.200958835,2.990590151,38.72755306,28.9531657,23.81023884,2.961004588,0.042321078,0.754790434,2.206214154,0.026468007000000002,17.41800287,0.568420973,23.72980815,396.2161189,0.002480737,171.7291603,610.8506044,110.2539368,0.86561222,0.314979181,24_light
4,11:07:53,7290.499999,0,4.811763846,0.043479479,204.2265188,4,3,48.32950974,220.05867,48.16577148,113.568985,60.03388596,0.780378979,0.575889742,0.471388373,0.276498563,0.87,0.92,9.788665771,0.874894333,0.004719025,0.818539276,0.619511835,0.9376652,1098.486694,0.5,226.5162038,1.300358596,2.263572647,24.14421463,2,4.644859791,1,9.289719582,23.63346481,24.14421463,22.98081207,399.9759827,396.4330139,8.952256203,9.80859375,23.5971489,25.85435867,300.7234497,1098.486694,406.9298401,77.22265625,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.503617249,0.001300359,297.2942146,296.7834648,175.7578672,0.43037091,3.02101831,39.12088054,29.31228679,23.88883972,2.975034145,0.043276926,0.757445663,2.217588481,0.027066204,15.77091426,0.51516022,23.55128619,395.7337591,0.002863623,171.7291603,961.0597836,65.4032135,0.820593649,0.62010252,24_light
5,11:10:26,7443.499999,0,5.715552954,0.044814147,177.4157017,5,4,48.32950974,220.05867,45.68334961,91.16556549,58.53881836,0.780378979,0.498896877,0.357884547,0.276498563,0.87,0.92,9.754099846,0.87487705,0.004146399,0.717351749,0.739170567,1.413835409,1499.35791,0.5,234.7282119,1.34089688,2.264924311,24.16516495,2,4.644859791,1,9.289719582,22.7254734,24.16516495,21.49688911,400.2611084,396.1061707,8.956882477,9.839993477,24.94207001,27.40125275,300.687561,1499.35791,398.9133911,77.22503662,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.503437805,0.001340897,297.3151649,295.8754734,239.8972603,0.628782606,3.024818167,39.16887967,29.3288862,23.44531918,2.896624711,0.044598999,0.759893857,2.136730854,0.027893624,13.70093406,0.447899364,23.6095449,395.2755755,0.003413861,171.7291603,1311.753825,45.48221588,0.76166553,0.750560384,24_light
6,11:13:00,7597.499999,0,5.612620332,0.047811395,193.0349476,6,5,48.32950974,220.05867,43.97021484,85.09277344,58.85548019,0.780378979,0.483267344,0.308337503,0.276498563,0.87,0.92,9.9796772,0.874989839,0.003387925,0.63802677,0.76646647,1.586102922,1800.068359,0.5,242.8221848,1.430206001,2.266052727,24.03427124,2,4.644859791,1,9.289719582,22.50444031,24.03427124,21.49267769,399.9514771,395.8424377,8.575695038,9.517767906,24.20589066,26.86499977,300.7397156,1800.068359,391.6951904,77.23375702,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.503698578,0.001430206,297.1842712,295.6544403,288.0109311,0.793848343,3.001145701,38.857953,29.3401851,23.26935577,2.866020815,0.047566584,0.735092974,2.130927841,0.029751013,14.90881424,0.48765602,23.01834154,395.0268009,0.003270492,171.7291603,1575.041523,41.12255859,0.713682372,0.785922999,24_light
7,11:15:42,7759.499999,0,5.182885008,0.050154156,215.7225081,7,6,48.32950974,220.05867,48.25317383,102.8484955,60.93955231,0.780378979,0.530832477,0.407482316,0.276498563,0.87,0.92,9.816422462,0.874908211,0.00431068,0.767628835,0.682225989,1.139639175,1300.928711,0.5,231.8968031,1.472664333,2.22545722,23.81315804,2,4.644859791,1,9.289719582,23.47500992,23.81315804,23.13230515,400.1070557,396.2717285,8.560251236,9.530399323,22.78363609,25.36574364,300.7023926,1300.928711,395.1009521,77.23363495,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.503511963,0.001472664,296.963158,296.6250099,208.1485891,0.532652818,2.961524602,38.34501126,28.81461194,23.64408398,2.931537699,0.049884834,0.736067382,2.195470317,0.031202107,16.66103344,0.544380264,23.42483019,395.5185417,0.003069596,171.7291603,1138.193211,54.59532166,0.768703647,0.682529248,24_light
8,11:18:33,7930.499999,0,5.265300524,0.052113827,219.0606658,8,7,48.32950974,220.05867,51.33056641,125.9533005,63.92198563,0.780378979,0.592463507,0.49249455600000003,0.276498563,0.87,0.92,9.728645325,0.874864323,0.005712997,0.831265641,0.557733819,0.747144928,998.1403198,0.5,215.0323219,1.548760072,2.252597558,23.96490288,2,4.644859791,1,9.289719582,24.1818943,23.96490288,23.84534645,400.1003723,396.1904297,8.509814262,9.530047417,21.70741463,24.30989647,300.7156372,998.1403198,390.5967712,77.23660278,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.503578186,0.00154876,297.1149029,297.3318943,159.7024476,0.358622759,2.988666045,38.69494433,29.16489691,24.07339859,3.008204951,0.051823108,0.736068487,2.272136464,0.032415437,16.91950163,0.552917611,23.1972185,395.425266,0.003088835,171.7291603,873.2373548,74.62273407,0.799127616,0.547987129,24_light
9,11:21:07,8084.499999,0,4.456150398,0.052544771,244.9388362,9,8,48.32950974,220.05867,54.90283203,146.5732422,65.02909088,0.780378979,0.625423909,0.556337228,0.276498563,0.87,0.92,9.73944664,0.874869723,0.005973368,0.889536233,0.44494599,0.501356365,799.7927246,0.5,194.638596,1.560602288,2.25127272,23.94154739,2,4.644859791,1,9.289719582,24.37241173,23.94154739,24.03565216,399.9791565,396.6038818,8.465465546,9.493516922,21.34775543,23.94024086,300.7216797,799.7927246,380.0454712,77.23184204,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.503608398,0.001560602,297.0915474,297.5224117,127.9668331,0.244632178,2.984474519,38.64305758,29.14954066,24.15697956,3.023333048,0.052249237,0.733201799,2.290131249,0.032682197,18.91707751,0.617590617,23.14161485,395.9563054,0.002604391,171.7291603,699.7144397,91.67041016,0.830018865,0.427914675,24_light
10,11:24:26,8283.499999,0,3.034497761,0.05170714,287.3251266,10,9,48.32950974,220.05867,60.25830078,174.9842377,63.22161865,0.780378979,0.655635836,0.638701065,0.276498563,0.87,0.92,9.68478775,0.874842394,0.007912614,0.974170463,0.282067135,0.257591386,398.4229431,0.5,111.3119535,1.524738907,2.234880334,23.91861343,2,4.644859791,1,9.289719582,25.0970192,23.91861343,25.0457325,400.3346863,397.9126892,8.647989273,9.652399063,20.88447571,23.31007767,300.6783752,398.4229431,385.4093933,77.23295593,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.503391876,0.001524739,297.0686134,298.2470192,63.74766947,0.037822946,2.980363646,38.58927332,28.93687426,24.50781631,3.087562236,0.051420928,0.745483311,2.342078925,0.032163672,22.19096884,0.722080834,23.58504449,397.4717101,0.0018006,171.7291603,348.5572813,114.7259369,0.882419637,0.262473958,24_light
