"Obs","HHMMSS","FTime","Photo","!AdjPhoto","Cond","Ci","Trmmol","VpdL","Area","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","Status","PhiPS2","OxygenPress","comment"
1,"10:54:19","1040.500488","-5.454408388","-5.454408388","0.321820715","411.9501382","7.808471187","1.909573931","0.975000024","1","12.06775695","27.95348549","22.75322342","28.71814728","399.5829773","400.3403625","8.552065849","11.06395531","17.73444557","22.94335938","299.7355957","0.94226563","181.9416962","78.48056793",NA,NA,"0.75","111115","#DIV/0!",-9999,"18_ACi"
2,"11:02:18","1519.000488","-3.244547685","-3.244547685","0.316962771","64.86734464","8.397920012","2.081083775","0.975000024","1","12.06775695","25.75381088","23.96476746","25.39570808","49.7068367","50.62381744","8.86383152","11.56357193","20.91982651","27.29157448","299.780304","702.0705566","441.9161072","78.48422241",NA,NA,"0.25","111115","0.430290512",-9999,"18_ACi"
3,"11:04:50","1671.000488","0.832675471","0.832675471","0.323691949","90.90403319","8.413804406","2.043362385","0.975000024","1","12.06775695","25.67354584","23.72594452","25.59708786","99.69970703","99.15747833","8.796129227","11.50148201","20.85853004","27.27381516","299.7430725","701.8363037","963.7612305","78.48212433",NA,NA,"0.5","111115","0.456947447",-9999,"18_ACi"
4,"11:07:22","1823.000488","8.569483267","8.569483267","0.329423735","147.3662165","8.670641718","2.069155912","0.975000024","1","12.06775695","26.50487328","23.98960686","26.56937027","200.7341156","197.389801","8.985319138","11.77260017","20.28527069","26.57784081","299.7312317","701.592041","960.7825317","78.4830246",NA,NA,"0.75","111115","0.48897683",-9999,"18_ACi"
5,"11:10:02","1983.000488","15.67865311","15.67865311","0.342158911","208.0807795","9.02254854","2.076000333","0.975000024","1","12.06775695","25.25052071","23.82253838","24.81274223","299.9895935","294.0264587","8.402647018","11.30445004","20.43255234","27.48880959","299.7288208","701.2195435","991.6181641","78.48199463",NA,NA,"0.25","111115","0.520504174",-9999,"18_ACi"
6,"11:12:35","2136.000488","26.57826216","26.57826216","0.350512079","347.7314924","9.404683496","2.113739194","0.975000024","1","12.06775695","26.00237083","23.94935989","25.7899456","500.6578674","490.5123291","8.087189674","11.11223412","18.8079567","25.84314728","299.7533569","700.9161987","1025.45752","78.48438263",NA,NA,"0.5","111115","0.540655698",-9999,"18_ACi"
7,"11:15:32","2313.000488","30.0547118","30.0547118","0.354067891","428.4401216","9.364599521","2.084168694","0.975000024","1","12.06775695","25.59438515","23.89226723","25.20140839","601.3239746","589.7515869","8.346674919","11.35812569","19.88744354","27.06276512","299.7485352","701.0700073","1062.324829","78.48817444",NA,NA,"0.75","111115","0.559026137",-9999,"18_ACi"
8,"11:18:09","2470.000488","35.33486947","35.33486947","0.347591382","588.581862","9.282715971","2.102774843","0.975000024","1","12.06775695","25.90709496","24.09129524","25.59403992","799.1849976","785.3203125","8.591751099","11.57621384","20.09686852","27.07779312","299.748291","700.8279419","404.5990906","78.49404144",NA,NA,"0.5","111115","0.563191144",-9999,"18_ACi"
9,"11:20:49","2630.000488","38.61095129","38.61095129","0.343829814","763.3321074","8.997085846","2.060035618","0.975000024","1","12.06775695","25.13397217","23.92493057","24.61395836","1000.319397","984.8796997","8.847056389","11.73890018","21.6669426","28.74923134","299.7804871","700.6268311","405.1248779","78.49626923",NA,NA,"0.5","111115","0.567407345",-9999,"18_ACi"
10,"11:23:28","2789.000488","41.17752957","41.17752957","0.332001072","982.1734023","8.734560287","2.068757919","0.975000024","1","12.06775695","25.53926849","24.05782127","25.20103264","1249.91272","1233.014893","9.124433517","11.93177509","21.8149128","28.52676964","299.7349243","700.5565186","408.0091858","78.49920654",NA,NA,"0.5","111115","0.564527134",-9999,"18_ACi"
