Investigator name: Bridger Huhn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact information: bhuhn@uwyo.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site name in full: GreenHouseWilliamsConservatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetation type: Green House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soil type: Sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Major species: Penstemon haydenii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample leaf light environment: High Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water stress assessment:None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument used: Licor-6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra info: GreenHouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent,,,,,,,,,,,,,
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%,,,,,,,,,,,,,
MOFLUX,,,7177,2022,,,,,,,PenstemonHaydenii,,,,,-9999,-9999,-9999,,,,,,,,,,,,,
Gamma*,Kc,Ko,Alpha,Rd,gi,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa,,,,,,,,,,,,,,,,,,,,,,,,,,
-9999,-9999,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress,
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA,
26,12:35:55,7136.500488,-9.571467295,-9.571467295,0.165046522,1982.023409,5.751112044,2.689339256,0.455000013,1,13.47710279,26.87741852,27.05477905,26.68612862,2000.73645,2000.442993,10.62049961,11.48343849,23.45926857,25.36538506,299.7554932,1.144833565,1074.649902,78.49146271,NA,NA,0.5,111115,#DIV/0!,-9999,24_ACi
27,12:44:47,7668.000488,-11.5988457,-11.5988457,0.123855313,195.0901338,4.657173895,2.891697585,0.455000013,1,13.47710279,26.52776337,27.80681801,26.24787521,49.82750702,51.55140686,10.26285744,10.96192074,23.14599991,24.72261047,299.7991333,701.6776123,1076.567627,78.50946808,NA,NA,0.75,111115,0.400668204,-9999,24_ACi
28,12:47:35,7836.000488,-6.288793322,-6.288793322,0.14022949,165.3528283,5.3414673,2.932153372,0.455000013,1,13.47710279,26.56969452,27.99098396,26.24905205,100.28022,101.1527481,10.1607151,10.96257591,22.85977554,24.66381836,299.7683105,701.3283081,390.9838257,78.51185608,NA,NA,0.5,111115,0.42413791,-9999,24_ACi
