Number,Size,VWC_Sensor,Treatment,,,
2,L,s,burial,,,burried
4,M,s,burial,,,
9,M,s,burial,,,
10,L,s,burial,,,
27,L,s,burial,,,
34,M,s,burial,,,
41,L,s,burial,,,
36,L,n,burial,,,
5,L,s,drought,,,
11,L,s,drought,,,
13,L,s,drought,,,
15,L,s,drought,,,
16,L,s,drought,,,
23,L,s,drought,,,
28,M,s,drought,,,
29,M,n,drought,,,
33,M,n,drought,,,
3,L,s,droughtburial,,,
7,L,s,droughtburial,,,
12,L,s,droughtburial,,,
17,M,s,droughtburial,,,
19,L,s,droughtburial,,,
20,M,s,droughtburial,,,
24,L,s,droughtburial,,,
30,M,n,droughtburial,,,
1,L,s,WW,,,
6,L,s,WW,,,
8,L,s,WW,,,
18,L,s,WW,,,
21,M,s,WW,,,
22,L,s,WW,,,
25,L,s,WW,,,
31,M,n,WW,,,
14,s,s,droughtburial,,,
26,s,s,burial,,,
