"TOA5","Pestemon_GH","CR1000X","23313","CR1000X.Std.04.02","CPU:Penstemon_GH_BH ed 05112022.CR1X","46565","Table1"
"TIMESTAMP","RECORD","BattV","PTemp_C","kohms(1)","WP_kPa(1)","kohms(2)","WP_kPa(2)","kohms(3)","WP_kPa(3)","kohms(4)","WP_kPa(4)","kohms(5)","WP_kPa(5)","kohms(6)","WP_kPa(6)","kohms(7)","WP_kPa(7)","kohms(8)","WP_kPa(8)","kohms(9)","WP_kPa(9)","kohms(10)","WP_kPa(10)","kohms(11)","WP_kPa(11)","kohms(12)","WP_kPa(12)","kohms(13)","WP_kPa(13)","kohms(14)","WP_kPa(14)","kohms(15)","WP_kPa(15)","kohms_2(1)","WP_kPa_2(1)","kohms_2(2)","WP_kPa_2(2)","kohms_2(3)","WP_kPa_2(3)","kohms_2(4)","WP_kPa_2(4)","kohms_2(5)","WP_kPa_2(5)","kohms_2(6)","WP_kPa_2(6)","kohms_2(7)","WP_kPa_2(7)","kohms_2(8)","WP_kPa_2(8)","kohms_2(9)","WP_kPa_2(9)","kohms_2(10)","WP_kPa_2(10)","kohms_2(11)","WP_kPa_2(11)","kohms_2(12)","WP_kPa_2(12)","kohms_2(13)","WP_kPa_2(13)","kohms_2(14)","WP_kPa_2(14)","kohms_2(15)","WP_kPa_2(15)","PAR_Den_Avg","PAR_Den","PAR_Den_Max","PAR_Den_Min","PAR_Tot_Tot","PAR_Den_2_Avg","PAR_Den_2","PAR_Den_2_Max","PAR_Den_2_Min","PAR_Tot_2_Tot"
"TS","RN","Volts","Deg C","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","kilohms","kPa","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","mmol/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","mmol/m^2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Max","Min","Tot","Avg","Smp","Max","Min","Tot"
"2022-05-11 15:30:00",0,11.98,27.43,0.138,16.68,0.145,16.72,0.146,16.73,0.145,16.72,0.143,16.72,0.155,16.79,0.146,16.73,0.14,16.69,0.147,16.74,0.152,16.77,0.131,16.64,0.154,16.78,0.145,16.72,0.142,16.71,0.141,16.7,0.145,16.73,0.162,16.83,0.172,16.89,0.157,16.8,0.144,16.72,0.131,16.64,0.149,16.75,0.144,16.72,0.142,16.71,0.174,16.9,0.201,17.07,0.143,16.71,0.141,16.7,0.145,16.72,0.14,16.7,511.1,500.3,526.6,500.3,1134.606,431.2,433.4,557.3,16.84,79.78047
"2022-05-11 16:00:00",1,11.98,26.03,0.14,16.7,0.147,16.74,0.148,16.74,0.146,16.73,0.145,16.73,0.156,16.79,0.148,16.74,0.141,16.7,0.149,16.75,0.153,16.78,0.132,16.65,0.156,16.79,0.147,16.74,0.143,16.72,0.142,16.71,0.147,16.74,0.164,16.84,0.174,16.9,0.158,16.8,0.146,16.73,0.132,16.65,0.15,16.75,0.146,16.73,0.143,16.71,0.175,16.91,0.203,17.08,0.146,16.73,0.141,16.7,0.146,16.73,0.143,16.71,483.9,474.5,499.5,474.5,2612.964,405.2,389.9,432.4,389.9,182.3353
"2022-05-11 16:30:00",2,11.98,23.72,0.142,16.71,0.149,16.75,0.149,16.75,0.148,16.74,0.147,16.74,0.158,16.8,0.15,16.75,0.143,16.71,0.151,16.76,0.155,16.79,0.134,16.65,0.157,16.8,0.148,16.75,0.145,16.73,0.144,16.72,0.148,16.74,0.165,16.85,0.177,16.92,0.159,16.81,0.147,16.74,0.134,16.66,0.151,16.76,0.148,16.74,0.144,16.72,0.176,16.92,0.205,17.09,0.148,16.74,0.143,16.71,0.149,16.75,0.145,16.72,33.21,30.88,36.88,30.88,179.3582,57.07,53.47,64.7,52.22,25.67962
"2022-05-11 17:00:00",3,11.97,24.11,0.143,16.72,0.15,16.76,0.15,16.76,0.148,16.75,0.148,16.74,0.159,16.81,0.15,16.76,0.143,16.72,0.151,16.76,0.156,16.79,0.134,16.66,0.157,16.8,0.149,16.75,0.146,16.73,0.144,16.72,0.149,16.75,0.166,16.85,0.179,16.93,0.16,16.82,0.148,16.74,0.134,16.66,0.151,16.76,0.149,16.75,0.145,16.73,0.177,16.92,0.206,17.1,0.149,16.75,0.144,16.72,0.151,16.76,0.146,16.73,23.47,16.44,30.68,16.44,126.7229,40.95,29.54,53.25,29.54,18.42932
"2022-05-11 17:30:00",4,11.96,24.15,0.144,16.72,0.151,16.76,0.151,16.76,0.148,16.75,0.147,16.74,0.159,16.81,0.15,16.76,0.144,16.72,0.152,16.77,0.156,16.79,0.134,16.66,0.157,16.8,0.149,16.75,0.146,16.73,0.144,16.72,0.149,16.75,0.166,16.86,0.179,16.93,0.161,16.82,0.148,16.74,0.134,16.66,0.151,16.76,0.149,16.75,0.146,16.73,0.177,16.92,0.206,17.1,0.15,16.76,0.144,16.72,0.152,16.77,0.146,16.73,13.71,11.47,16.18,10.59,74.02629,23.43,19.18,29.05,18.32,10.54541
"2022-05-11 18:00:00",5,12,23.84,0.145,16.72,0.152,16.77,0.151,16.76,0.149,16.75,0.148,16.74,0.159,16.81,0.151,16.76,0.144,16.72,0.152,16.77,0.156,16.79,0.134,16.66,0.157,16.8,0.149,16.75,0.145,16.73,0.144,16.72,0.149,16.75,0.166,16.85,0.178,16.93,0.161,16.83,0.149,16.75,0.134,16.66,0.152,16.77,0.149,16.75,0.146,16.73,0.178,16.92,0.207,17.1,0.151,16.76,0.145,16.73,0.153,16.78,0.146,16.73,8.63,5.456,11.95,5.456,46.58578,14.85,9.7,20.02,9.7,6.683275
"2022-05-11 18:30:00",6,12,23.47,0.145,16.73,0.153,16.77,0.152,16.77,0.149,16.75,0.148,16.74,0.16,16.82,0.151,16.76,0.145,16.72,0.152,16.77,0.157,16.8,0.135,16.66,0.157,16.8,0.149,16.75,0.146,16.73,0.144,16.72,0.149,16.75,0.166,16.86,0.178,16.93,0.162,16.83,0.149,16.75,0.135,16.66,0.152,16.77,0.15,16.75,0.146,16.73,0.178,16.93,0.207,17.11,0.151,16.76,0.146,16.73,0.154,16.78,0.146,16.73,5.396,4.02,8.11,3.516,29.13999,9.21,6.606,13.59,6.006,4.144307
"2022-05-11 19:00:00",7,12,23.02,0.146,16.73,0.154,16.78,0.152,16.77,0.15,16.75,0.149,16.75,0.161,16.82,0.152,16.77,0.145,16.73,0.153,16.77,0.157,16.8,0.135,16.66,0.157,16.8,0.15,16.75,0.146,16.73,0.145,16.72,0.15,16.76,0.167,16.86,0.179,16.93,0.163,16.83,0.15,16.75,0.135,16.66,0.153,16.77,0.15,16.76,0.147,16.74,0.178,16.93,0.208,17.11,0.152,16.77,0.146,16.73,0.155,16.79,0.146,16.73,2.007,1.238,4.072,1.238,10.83576,3.489,2.141,7.043,2.141,1.569897
