"ID","Series","Repeat","Ambient Humidity","Ambient Temperature","Leaf Angle","Leaf Temp Differential","Light Intensity (PAR)","Phi2_250","PhiNO_250","PhiNPQ_250","time","Plant ID","Time of Day","User","Device ID","Latitude","Longitude","Issues"
2728361,"December 16, 2021 12:32 PM - May 31, 2022 12:07 PM",1,14.82031,35.42,5.666,-5.23,0.005,0.551,0.134,0.315,"05/25/2022 12:41 PM",4,12.698333333333334,"CRG","41:00:12:f0",,,""
2728360,"December 16, 2021 12:32 PM - May 31, 2022 12:07 PM",1,33.70117,24.94,1.806,-1.0899999999999999,0.16,0.586,0.15,0.265,"05/26/2022 11:44 AM",17,11.74111111111111,"CRG","41:00:12:f0",,,""
2728359,"December 16, 2021 12:32 PM - May 31, 2022 12:07 PM",1,31.32812,28.47,1.744,0.33999999999999986,0.052,0.522,0.125,0.354,"05/26/2022 11:54 AM",24,11.901666666666667,"CRG","41:00:12:f0",,,""
2728358,"December 16, 2021 12:32 PM - May 31, 2022 12:07 PM",1,26.06055,31.85,7.622,-4.560000000000002,0.142,0.486,0.143,0.371,"05/26/2022 12:00 PM",8,12.009444444444444,"CRG","41:00:12:f0",,,""
2728357,"December 16, 2021 12:32 PM - May 31, 2022 12:07 PM",1,23.85254,28.36,4.074,-0.25,0.005,0.691,0.19,0.119,"05/25/2022 11:19 AM",41,11.331111111111111,"CRG","06:03:03:43",41.31261333,-105.58506008,""
2728356,"December 16, 2021 12:32 PM - May 31, 2022 12:07 PM",1,22.52051,28.74,2.24,0.23000000000000043,0.008,0.744,0.194,0.062,"05/25/2022 11:30 AM",20,11.500833333333333,"CRG","06:03:03:43",41.31265379,-105.58499928,""
2728355,"December 16, 2021 12:32 PM - May 31, 2022 12:07 PM",1,15.98535,37.14,0.747,-7.030000000000001,0.023,0.676,0.175,0.149,"05/25/2022 12:33 PM",27,12.555277777777778,"CRG","06:03:03:43",41.31264394,-105.58502323,""
2728354,"December 16, 2021 12:32 PM - May 31, 2022 12:07 PM",1,37.07129,28.89,12.642,-4.460000000000001,0,0.567,0.203,0.23,"05/26/2022 10:41 AM",1,10.69,"CRG","06:03:03:43",41.3126421,-105.58505472,""
2728353,"December 16, 2021 12:32 PM - May 31, 2022 12:07 PM",1,30.41406,31.21,0.438,-2.0600000000000023,0.033,0.673,0.184,0.143,"05/26/2022 10:57 AM",27,10.958055555555555,"CRG","06:03:03:43",41.31260655,-105.58510217,""
2728352,"December 16, 2021 12:32 PM - May 31, 2022 12:07 PM",1,26.86426,32.86,7.177,-3.349999999999998,0,0.581,0.202,0.217,"05/26/2022 11:11 AM",31,11.19,"CRG","06:03:03:43",41.31263835,-105.58497842,""
