"TOA5","Pen1 Dunes CR1K","CR1000","60956","CR1000.Std.28.02","CPU:FIELD_READY_PEN_1_05252022.CR1","21407","BattMin_PTemp"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp"
"TS","RN","",""
"","","Min","Smp"
"2022-05-25 17:00:00",0,12.4,22.42
"2022-05-25 17:30:00",1,12.72,24.51
"2022-05-25 18:00:00",2,12.98,24.92
"2022-05-25 18:30:00",3,13.14,25.13
"2022-05-25 19:00:00",4,13.24,25.67
"2022-05-25 19:30:00",5,13.15,24.25
"2022-05-25 20:00:00",6,13.04,21.21
"2022-05-25 20:30:00",7,12.92,17.21
"2022-05-25 21:00:00",8,12.84,13.16
"2022-05-25 21:30:00",9,12.8,10.45
"2022-05-25 22:00:00",10,12.77,8.46
"2022-05-25 22:30:00",11,12.75,7.444
"2022-05-25 23:00:00",12,12.73,6.721
"2022-05-25 23:30:00",13,12.71,5.939
"2022-05-26 00:00:00",14,12.69,6.156
"2022-05-26 00:30:00",15,12.68,6.482
"2022-05-26 01:00:00",16,12.66,6.524
"2022-05-26 01:30:00",17,12.65,6.57
"2022-05-26 02:00:00",18,12.64,5.896
"2022-05-26 02:30:00",19,12.63,4.365
"2022-05-26 03:00:00",20,12.62,3.185
"2022-05-26 03:30:00",21,12.61,2.523
"2022-05-26 04:00:00",22,12.59,2.053
"2022-05-26 04:30:00",23,12.59,1.245
"2022-05-26 05:00:00",24,12.57,0.585
"2022-05-26 05:30:00",25,12.57,0.82
"2022-05-26 06:00:00",26,12.58,1.202
"2022-05-26 06:30:00",27,12.7,1.586
"2022-05-26 07:00:00",28,12.85,4.685
"2022-05-26 07:30:00",29,13.82,10.22
"2022-05-26 08:00:00",30,13.77,13.75
"2022-05-26 08:30:00",31,13.73,16.32
"2022-05-26 09:00:00",32,13.71,19.18
"2022-05-26 09:30:00",33,13.71,20.42
"2022-05-26 10:00:00",34,13.72,22.39
"2022-05-26 10:30:00",35,13.72,23.78
"2022-05-26 11:00:00",36,13.74,25.07
"2022-05-26 11:30:00",37,13.72,26.01
"2022-05-26 12:00:00",38,13.7,26.62
"2022-05-26 12:30:00",39,13.69,27.88
"2022-05-26 13:00:00",40,13.69,28.92
"2022-05-26 13:30:00",41,13.66,30.6
"2022-05-26 14:00:00",42,13.63,31.72
"2022-05-26 14:30:00",43,13.63,32.81
"2022-05-26 15:00:00",44,13.63,31.86
"2022-05-26 15:30:00",45,13.64,31.86
"2022-05-26 16:00:00",46,13.66,30.05
"2022-05-26 16:30:00",47,13.68,31.83
"2022-05-26 17:00:00",48,13.65,34.19
"2022-05-26 17:30:00",49,13.64,32.66
"2022-05-26 18:00:00",50,13.67,30.88
"2022-05-26 18:30:00",51,13.72,28.82
"2022-05-26 19:00:00",52,13.75,29.55
"2022-05-26 19:30:00",53,13.65,29.35
"2022-05-26 20:00:00",54,13.48,27.56
"2022-05-26 20:30:00",55,13.25,22.47
"2022-05-26 21:00:00",56,12.98,17.36
"2022-05-26 21:30:00",57,12.76,13.94
"2022-05-26 22:00:00",58,12.66,11.63
"2022-05-26 22:30:00",59,12.64,11.13
"2022-05-26 23:00:00",60,12.63,10.13
"2022-05-26 23:30:00",61,12.62,9.57
"2022-05-27 00:00:00",62,12.62,9.57
"2022-05-27 00:30:00",63,12.61,9.93
"2022-05-27 01:00:00",64,12.61,10.27
"2022-05-27 01:30:00",65,12.6,10.04
"2022-05-27 02:00:00",66,12.59,10.2
"2022-05-27 02:30:00",67,12.59,10.34
"2022-05-27 03:00:00",68,12.58,10.4
"2022-05-27 03:30:00",69,12.57,10.77
"2022-05-27 04:00:00",70,12.57,10.58
"2022-05-27 04:30:00",71,12.56,10.83
"2022-05-27 05:00:00",72,12.56,10.13
"2022-05-27 05:30:00",73,12.56,9.48
"2022-05-27 06:00:00",74,12.56,8.21
"2022-05-27 06:30:00",75,12.64,7.552
"2022-05-27 07:00:00",76,12.84,9.44
"2022-05-27 07:30:00",77,13.97,14.04
"2022-05-27 08:00:00",78,13.88,17.11
"2022-05-27 08:30:00",79,13.82,18.33
"2022-05-27 09:00:00",80,13.78,21.02
"2022-05-27 09:30:00",81,13.78,26.47
"2022-05-27 10:00:00",82,13.74,28.3
"2022-05-27 10:30:00",83,13.67,28.59
"2022-05-27 11:00:00",84,13.64,29.75
"2022-05-27 11:30:00",85,13.65,28.69
"2022-05-27 12:00:00",86,13.63,29.38
"2022-05-27 12:30:00",87,13.6,30.5
"2022-05-27 13:00:00",88,13.59,29.92
"2022-05-27 13:30:00",89,13.57,29.78
"2022-05-27 14:00:00",90,13.59,28.85
"2022-05-27 14:30:00",91,13.61,28.43
"2022-05-27 15:00:00",92,13.6,28.85
"2022-05-27 15:30:00",93,13.62,27.63
"2022-05-27 16:00:00",94,13.66,27.98
"2022-05-27 16:30:00",95,13.7,28.2
"2022-05-27 17:00:00",96,13.72,28.43
"2022-05-27 17:30:00",97,13.74,27.63
"2022-05-27 18:00:00",98,13.75,27.15
"2022-05-27 18:30:00",99,13.76,26.04
"2022-05-27 19:00:00",100,13.61,23.18
"2022-05-27 19:30:00",101,13.55,19.81
"2022-05-27 20:00:00",102,13.35,18.33
"2022-05-27 20:30:00",103,13.13,16.59
"2022-05-27 21:00:00",104,12.88,16
"2022-05-27 21:30:00",105,12.7,16.54
"2022-05-27 22:00:00",106,12.65,16
"2022-05-27 22:30:00",107,12.63,14.64
"2022-05-27 23:00:00",108,12.62,13.54
"2022-05-27 23:30:00",109,12.62,12.84
"2022-05-28 00:00:00",110,12.62,11.54
"2022-05-28 00:30:00",111,12.61,11.18
"2022-05-28 01:00:00",112,12.6,11.02
"2022-05-28 01:30:00",113,12.6,10.97
"2022-05-28 02:00:00",114,12.58,9.97
"2022-05-28 02:30:00",115,12.58,9.17
"2022-05-28 03:00:00",116,12.57,8.5
"2022-05-28 03:30:00",117,12.56,8.13
"2022-05-28 04:00:00",118,12.55,7.225
"2022-05-28 04:30:00",119,12.54,6.656
"2022-05-28 05:00:00",120,12.54,6.308
"2022-05-28 05:30:00",121,12.53,5.896
"2022-05-28 06:00:00",122,12.54,5.788
"2022-05-28 06:30:00",123,12.67,5.7
"2022-05-28 07:00:00",124,13,9.84
"2022-05-28 07:30:00",125,13.93,13.16
"2022-05-28 08:00:00",126,13.87,18.84
"2022-05-28 08:30:00",127,13.83,23.55
"2022-05-28 09:00:00",128,13.85,23.7
"2022-05-28 09:30:00",129,13.86,24.1
"2022-05-28 10:00:00",130,13.73,23.61
"2022-05-28 10:30:00",131,13.7,24.78
"2022-05-28 11:00:00",132,13.71,24.6
"2022-05-28 11:30:00",133,13.64,27.28
"2022-05-28 12:00:00",134,13.64,24.84
"2022-05-28 12:30:00",135,13.71,24.54
"2022-05-28 13:00:00",136,13.63,25.67
"2022-05-28 13:30:00",137,13.62,25.43
"2022-05-28 14:00:00",138,13.67,23.1
"2022-05-28 14:30:00",139,13.73,22.28
"2022-05-28 15:00:00",140,13.67,23.21
"2022-05-28 15:30:00",141,13.66,25.13
