"TOA5","Pen1 Dunes CR1K","CR1000","60956","CR1000.Std.28.02","CPU:FIELD_READY_PEN_1_05252022.CR1","21407","Pen1_table"
"TIMESTAMP","RECORD","windSpeed_Avg","windDirection_Avg","GustWindSpeed_Avg","AirTemp_Avg","XOrientation_Avg","YOrientation_Avg","CompassHeading_Avg","N_Wind_Avg","E_Wind_Avg","GustWindSpeed2_Avg","windSpeed_Max","windDirection_Max","GustWindSpeed_Max","AirTemp_Max","XOrientation_Max","YOrientation_Max","CompassHeading_Max","N_Wind_Max","E_Wind_Max","GustWindSpeed2_Max","windSpeed_Min","windDirection_Min","GustWindSpeed_Min","AirTemp_Min","XOrientation_Min","YOrientation_Min","CompassHeading_Min","N_Wind_Min","E_Wind_Min","GustWindSpeed2_Min","windSpeed_Std","windDirection_Std","GustWindSpeed_Std","AirTemp_Std","XOrientation_Std","YOrientation_Std","CompassHeading_Std","N_Wind_Std","E_Wind_Std","GustWindSpeed2_Std","PAR_Den_Avg","PAR_Den_Max","PAR_Den_Min","PAR_Den_Std","PAR_Tot_Tot","TT_C_Avg","TT_C_Max","TT_C_Min","TT_C_Std","TT_C_2_Avg","TT_C_2_Max","TT_C_2_Min","TT_C_2_Std","TT_C_3_Avg","TT_C_3_Max","TT_C_3_Min","TT_C_3_Std","Rain_mm_Tot","TmV_Avg(1)","TmV_Avg(2)","TmV_Avg(3)","SBTemp_Avg(1)","SBTemp_Avg(2)","SBTemp_Avg(3)","TargTemp_Avg(1)","TargTemp_Avg(2)","TargTemp_Avg(3)","TmV_Std(1)","TmV_Std(2)","TmV_Std(3)","SBTemp_Std(1)","SBTemp_Std(2)","SBTemp_Std(3)","TargTemp_Std(1)","TargTemp_Std(2)","TargTemp_Std(3)","vaporPress_Avg","temperature_Avg","relativeHumidity_Avg","atmosphericPress_Avg","vaporPress_Max","temperature_Max","relativeHumidity_Max","atmosphericPress_Max","vaporPress_Min","temperature_Min","relativeHumidity_Min","atmosphericPress_Min","vaporPress_Std","temperature_Std","relativeHumidity_Std","atmosphericPress_Std","VWC_S1_Avg","T_S1_Avg","VWC_S2_Avg","T_S2_Avg","VWC_S3_Avg","T_S3_Avg","VWC_S4_Avg","T_S4_Avg","VWC_M1_Avg","T_M1_Avg","VWC_M2_Avg","T_M2_Avg","VWC_M3_Avg","T_M3_Avg","VWC_M4_Avg","T_M4_Avg","VWC_N1_Avg","T_N1_Avg","VWC_N2_Avg","T_N2_Avg","VWC_N3_Avg","T_N3_Avg","VWC_N4_Avg","T_N4_Avg","VWC_S1_Std","T_S1_Std","VWC_S2_Std","T_S2_Std","VWC_S3_Std","T_S3_Std","VWC_S4_Std","T_S4_Std","VWC_M1_Std","T_M1_Std","VWC_M2_Std","T_M2_Std","VWC_M3_Std","T_M3_Std","VWC_M4_Std","T_M4_Std","VWC_N1_Std","T_N1_Std","VWC_N2_Std","T_N2_Std","VWC_N3_Std","T_N3_Std","VWC_N4_Std","T_N4_Std"
"TS","RN","m/s","hdg","m/s","C","hdg","hdg","hdg","m/s","m/s","m/s","m/s","hdg","m/s","C","hdg","hdg","hdg","m/s","m/s","m/s","m/s","hdg","m/s","C","hdg","hdg","hdg","m/s","m/s","m/s","m/s","hdg","m/s","C","hdg","hdg","hdg","m/s","m/s","m/s","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","mmol/m^2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","kPa","C","unitless","kPa","kPa","C","unitless","kPa","kPa","C","unitless","kPa","kPa","C","unitless","kPa","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Avg","Max","Min","Std","Tot","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Std","Std","Std","Std","Std","Std","Std","Std","Std","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Min","Min","Min","Min","Std","Std","Std","Std","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std"
"2022-05-25 17:00:00",0,3.857,300.9,4.591,18.43,0.531,-1.538,0,2.393,-2.786,4.591,6.26,338.8,7.41,19.7,1.1,0,0,4.12,0,7.41,0,0,0,0,-0.3,-2.3,0,0,-5.81,0,1.4,62.36,1.699,3.692,0.317,0.443,0,1.003,1.53,1.699,1301,1511,669.4,200.5,169.0823,21.7,22.37,20.91,0.412,6.186,13.33,2.636,2.535,"NAN","NAN","NAN","NAN",0,-0.15,"NAN","NAN",20.83,-58.47,-48.98,17.38,"NAN","NAN",0.04,"NAN","NAN",0.342,1.379,0.728,0.588,"NAN","NAN",0.621,18.85,0.272,76.39,0.664,20,0.293,79.45,0,0,0,0,0.125,3.772,0.055,15.28,0.081,7.9,0.078,7.2,0.091,7.7,0.088,7.8,0.087,7.985,0.082,8.08,0.066,9.5,0.093,7.9,0.118,8.38,0.093,7.4,0.107,9.41,0.073,7.5,0,0,0,0,0,0,0,0,0,0.254,0,0.128,0,0.211,0,0,0,0.039,0,0,0,0.492,0,0
"2022-05-25 17:30:00",1,5.159,317.1,6.166,19.09,0.52,-1.752,0,3.546,-3.21,6.166,8.75,358.6,10.65,19.9,1.5,-0.1,0,7.57,-0.09,10.65,1.89,273.1,2.28,18.4,-1.2,-4.4,0,0.29,-7.08,2.28,1.374,21.97,1.682,0.297,0.401,0.584,0,1.805,1.541,1.682,1286,1514,830,217.8,578.5097,21.07,22.5,19.1,0.921,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,-0.07,"NAN","NAN",20.08,-53.77,-49.02,18.41,"NAN","NAN",0.028,"NAN","NAN",0.17,1.838,1.551,0.626,"NAN","NAN",0.599,19.58,0.263,79.44,0.656,20,0.284,79.45,0.565,19,0.247,79.43,0.021,0.257,0.009,0.006,0.081,8.09,0.079,7.3,0.091,7.7,0.088,7.8,0.087,7.453,0.082,8.32,0.066,8.9,0.093,7.9,0.118,8.55,0.093,7.498,0.107,10.53,0.073,7.5,0,0.084,0,0,0,0,0,0,0,0.076,0,0.06,0,0.113,0,0,0,0.082,0,0.03,0,0.203,0,0
"2022-05-25 18:00:00",2,6.069,325.6,7.06,18.82,0.553,-1.621,0,4.94,-2.971,7.06,11.13,356.6,14.57,19.5,2.1,1,0,10.13,-0.36,14.57,2.16,262.4,2.59,18.4,-0.5,-3.4,0,-0.84,-6.31,2.59,1.858,19.63,2.158,0.255,0.427,0.598,0,2.352,1.234,2.158,1004,1331,749.6,137.5,451.9361,18.89,20.49,17.43,0.78,1.812,2.754,0.698,0.534,"NAN","NAN","NAN","NAN",0,-0.074,-2.267,-2.917,19.55,-53.26,-47.3,17.78,"NAN","NAN",0.017,4.181,4.262,0.266,0.148,0.246,0.592,"NAN","NAN",0.578,19.27,0.259,79.45,0.62,19.7,0.273,79.46,0.541,18.8,0.249,79.43,0.018,0.233,0.006,0.006,0.081,8.35,0.079,7.361,0.091,7.7,0.088,7.8,0.087,7.442,0.082,8.41,0.066,8.74,0.093,7.9,0.118,8.81,0.093,7.629,0.107,10.86,0.073,7.5,0,0.083,0,0.049,0,0,0,0,0,0.049,0,0.033,0,0.05,0,0,0,0.078,0,0.045,0,0.048,0,0
"2022-05-25 18:30:00",3,5.277,322.1,6.05,18.85,0.626,-1.566,0,3.946,-2.923,6.05,8.55,353.1,9.85,19.3,1.6,-0.1,0,8.43,-0.46,9.85,2.24,268.3,2.95,18.4,-0.3,-3,0,-0.16,-7.53,2.95,1.444,21.44,1.622,0.216,0.327,0.463,0,1.905,1.478,1.622,935,1139,668.3,123.7,420.7747,18.55,19.62,17.46,0.629,2.548,3.524,1.547,0.43,"NAN","NAN","NAN","NAN",0,-0.072,4.299,3.518,19.43,-53.99,-47.03,17.72,50.8,39.29,0.019,0.515,1.055,0.175,0.328,0.083,0.474,7.685,18.52,0.541,19.3,0.242,79.45,0.562,19.7,0.251,79.45,0.519,19,0.234,79.43,0.011,0.179,0.004,0.005,0.082,8.6,0.079,7.442,0.091,7.7,0.088,7.8,0.087,7.546,0.082,8.5,0.066,8.7,0.093,7.9,0.118,9.07,0.093,7.746,0.107,11.01,0.073,7.5,0,0.074,0,0.049,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.079,0,0.05,0,0.034,0,0
"2022-05-25 19:00:00",4,3.579,322.1,3.998,18.87,0.571,-1.61,0,2.939,-1.677,3.998,7.06,358.5,8.2,19.4,1.1,-1,0,6.8,0.14,8.2,0.78,5.2,0.92,18.6,0.1,-2.2,0,0.04,-3.6,0.92,1.539,39.64,1.684,0.159,0.169,0.212,0,1.744,0.828,1.684,746.9,954,528.7,128.7,336.0974,17.72,18.4,16.97,0.362,3.172,3.891,2.423,0.291,"NAN","NAN","NAN","NAN",0,-0.093,4.097,3.626,19.4,-54.49,-47.25,17.21,46.89,40.74,0.023,0.964,1.222,0.081,0.149,0.422,0.511,14.15,19.46,0.557,19.41,0.247,79.45,0.575,19.7,0.256,79.45,0.54,19,0.239,79.43,0.007,0.144,0.003,0.005,0.082,8.85,0.079,7.539,0.091,7.7,0.088,7.8,0.087,7.677,0.082,8.58,0.066,8.7,0.093,7.9,0.119,9.32,0.093,7.863,0.107,11.1,0.073,7.5,0,0.078,0,0.049,0,0,0,0,0,0.042,0,0.038,0,0,0,0,0,0.072,0,0.048,0,0,0,0
"2022-05-25 19:30:00",5,2.545,333.8,2.836,18.18,0.566,-1.629,0,2.277,-1.006,2.836,4.92,351.5,5.12,19.2,0.8,-1.3,0,4.62,-0.23,5.12,0.76,287,0.79,17.7,0.3,-1.9,0,0.22,-2.61,0.79,0.899,13.97,0.906,0.374,0.102,0.132,0,0.954,0.424,0.906,316.5,552.4,185.4,105.8,142.4203,14.82,17.19,13.32,1.111,1.178,2.904,-0.085,0.838,"NAN","NAN","NAN","NAN",0,-0.179,3.822,3.672,18.4,-53.97,-47.27,14.26,42.8,42.19,0.022,0.87,0.982,0.681,0.315,0.289,1.087,13.65,14.97,0.577,18.63,0.269,79.46,0.609,19.5,0.295,79.46,0.552,17.9,0.247,79.45,0.014,0.593,0.015,0.005,0.082,9.09,0.079,7.654,0.091,7.7,0.088,7.8,0.087,7.827,0.082,8.63,0.066,8.7,0.093,7.9,0.119,9.54,0.093,7.993,0.107,11.1,0.073,7.5,0,0.075,0,0.05,0,0,0,0,0,0.044,0,0.046,0,0,0,0,0,0.058,0,0.051,0,0,0,0
"2022-05-25 20:00:00",6,1.821,324.4,2.033,17.06,0.551,-1.659,0,1.523,-0.839,2.033,5.04,356.5,5.92,17.8,0.8,-1.4,0,4.94,-0.05,5.92,0.29,265.8,0.38,16.3,0.3,-1.9,0,-0.05,-2.17,0.38,1.19,19.99,1.28,0.476,0.102,0.104,0,1.24,0.417,1.28,128.7,211.5,59.98,44.14,57.91678,13.14,14.25,12.02,0.672,-1.852,-0.159,-3.26,0.89,"NAN","NAN","NAN","NAN",0,-0.215,5.716,6.403,16.59,-53.58,-48.45,11.59,70.39,79.43,0.018,0.456,0.648,0.582,0.055,0.425,0.998,5.62,7.239,0.588,17.25,0.299,79.47,0.632,18.1,0.325,79.48,0.543,16.1,0.265,79.46,0.022,0.53,0.019,0.007,0.082,9.32,0.079,7.76,0.091,7.756,0.088,7.8,0.087,7.954,0.082,8.7,0.066,8.7,0.093,7.9,0.119,9.75,0.093,8.15,0.107,11.1,0.073,7.5,0,0.069,0,0.049,0,0.05,0,0,0,0.05,0,0.01,0,0,0,0,0,0.052,0,0.05,0,0,0,0
"2022-05-25 20:30:00",7,0.713,96.8,0.81,14.9,0.554,-1.654,0,0.264,0.491,0.81,1.58,358,1.69,16.3,0.7,-1.4,0,1.17,1.21,1.69,0.19,7.5,0.24,12.4,0.4,-1.9,0,-1.03,-0.52,0.24,0.295,87.1,0.319,1.098,0.083,0.107,0,0.362,0.394,0.319,32.51,59.19,10.26,14.8,14.62954,10.87,12.06,9.9,0.485,-4.392,-3.352,-5.673,0.623,"NAN","NAN","NAN","NAN",0,-0.209,7.35,8.17,13.83,-53.52,-49.66,8.93,89.1,97.4,0.02,0.82,1.371,0.837,0.023,0.224,0.593,8.82,13.76,0.647,15.21,0.376,79.48,0.722,16.2,0.478,79.48,0.592,13.1,0.324,79.47,0.038,0.703,0.036,0.005,0.082,9.53,0.079,7.867,0.091,7.8,0.088,7.8,0.088,8.11,0.082,8.8,0.066,8.7,0.093,7.9,0.119,9.94,0.093,8.27,0.107,11.1,0.073,7.5,0,0.064,0,0.047,0,0,0,0,0,0.064,0,0,0,0,0,0,0,0.053,0,0.047,0,0,0,0
