"TOA5","Pen2 Dunes CR1K","CR1000","66462","CR1000.Std.32.03","CPU:FIELD_READY_PEN_2_05252022.CR1","38252","BattMin_PTemp"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp"
"TS","RN","",""
"","","Min","Smp"
"2022-05-25 14:00:00",0,13.66,17.79
"2022-05-25 14:30:00",1,13.61,18.77
"2022-05-25 15:00:00",2,13.55,19.39
"2022-05-25 15:30:00",3,13.54,19.78
"2022-05-25 16:00:00",4,13.54,20.37
"2022-05-25 16:30:00",5,13.54,20.77
"2022-05-25 17:00:00",6,13.54,20.83
"2022-05-25 17:30:00",7,13.54,20.72
"2022-05-25 18:00:00",8,13.61,20.05
"2022-05-25 18:30:00",9,13.66,19.76
"2022-05-25 19:00:00",10,13.66,19.73
"2022-05-25 19:30:00",11,13.7,18.74
"2022-05-25 20:00:00",12,13.44,16.94
"2022-05-25 20:30:00",13,13.17,14.42
"2022-05-25 21:00:00",14,13.09,11.86
"2022-05-25 21:30:00",15,13.06,10.27
"2022-05-25 22:00:00",16,13.04,8.92
"2022-05-25 22:30:00",17,13.03,8.44
"2022-05-25 23:00:00",18,13.02,7.532
"2022-05-25 23:30:00",19,13.01,6.524
"2022-05-26 00:00:00",20,13,6.287
"2022-05-26 00:30:00",21,12.98,6.461
"2022-05-26 01:00:00",22,12.97,6.33
"2022-05-26 01:30:00",23,12.96,6.287
"2022-05-26 02:00:00",24,12.95,5.939
"2022-05-26 02:30:00",25,12.93,4.665
"2022-05-26 03:00:00",26,12.92,3.443
"2022-05-26 03:30:00",27,12.91,3.057
"2022-05-26 04:00:00",28,12.9,2.695
"2022-05-26 04:30:00",29,12.89,2.033
"2022-05-26 05:00:00",30,12.88,1.437
"2022-05-26 05:30:00",31,12.87,1.457
"2022-05-26 06:00:00",32,12.87,1.735
"2022-05-26 06:30:00",33,12.93,2.544
"2022-05-26 07:00:00",34,13.34,4.279
"2022-05-26 07:30:00",35,14.08,6.678
"2022-05-26 08:00:00",36,14.4,8.77
"2022-05-26 08:30:00",37,14.34,10.95
"2022-05-26 09:00:00",38,14.05,12.79
"2022-05-26 09:30:00",39,13.82,13.85
"2022-05-26 10:00:00",40,13.76,15.14
"2022-05-26 10:30:00",41,13.73,16.22
"2022-05-26 11:00:00",42,13.66,17.49
"2022-05-26 11:30:00",43,13.63,18.56
"2022-05-26 12:00:00",44,13.59,19.81
"2022-05-26 12:30:00",45,13.54,21.02
"2022-05-26 13:00:00",46,13.54,21.92
"2022-05-26 13:30:00",47,13.52,22.78
"2022-05-26 14:00:00",48,13.51,23.5
"2022-05-26 14:30:00",49,13.43,24.45
"2022-05-26 15:00:00",50,13.42,24.51
"2022-05-26 15:30:00",51,13.39,24.75
"2022-05-26 16:00:00",52,13.39,24.1
"2022-05-26 16:30:00",53,13.36,24.89
"2022-05-26 17:00:00",54,13.3,25.95
"2022-05-26 17:30:00",55,13.3,25.34
"2022-05-26 18:00:00",56,13.4,24.57
"2022-05-26 18:30:00",57,13.49,23.47
"2022-05-26 19:00:00",58,13.54,23.78
"2022-05-26 19:30:00",59,13.55,23.44
"2022-05-26 20:00:00",60,13.34,21.97
"2022-05-26 20:30:00",61,13.13,18.89
"2022-05-26 21:00:00",62,13.08,15.73
"2022-05-26 21:30:00",63,13.06,13.59
"2022-05-26 22:00:00",64,13.05,11.86
"2022-05-26 22:30:00",65,13.03,11.24
"2022-05-26 23:00:00",66,13.02,10.56
"2022-05-26 23:30:00",67,13.01,10.31
"2022-05-27 00:00:00",68,12.99,9.66
"2022-05-27 00:30:00",69,12.98,9.48
"2022-05-27 01:00:00",70,12.96,9.46
"2022-05-27 01:30:00",71,12.95,9.24
"2022-05-27 02:00:00",72,12.94,9.52
"2022-05-27 02:30:00",73,12.92,9.93
"2022-05-27 03:00:00",74,12.91,10.45
"2022-05-27 03:30:00",75,12.9,10.79
"2022-05-27 04:00:00",76,12.89,10.86
"2022-05-27 04:30:00",77,12.88,11.06
"2022-05-27 05:00:00",78,12.87,10.61
"2022-05-27 05:30:00",79,12.86,9.97
"2022-05-27 06:00:00",80,12.86,9.01
"2022-05-27 06:30:00",81,12.9,8.26
"2022-05-27 07:00:00",82,13,8.7
"2022-05-27 07:30:00",83,13.93,10.83
"2022-05-27 08:00:00",84,14.33,13.16
"2022-05-27 08:30:00",85,14.29,14.54
"2022-05-27 09:00:00",86,14.21,16.09
"2022-05-27 09:30:00",87,14.08,18.66
"2022-05-27 10:00:00",88,13.66,20.26
"2022-05-27 10:30:00",89,13.6,21.53
"2022-05-27 11:00:00",90,13.54,22.98
"2022-05-27 11:30:00",91,13.56,23.04
"2022-05-27 12:00:00",92,13.52,23.96
"2022-05-27 12:30:00",93,13.51,24.81
"2022-05-27 13:00:00",94,13.51,24.69
"2022-05-27 13:30:00",95,13.51,24.45
"2022-05-27 14:00:00",96,13.51,23.75
"2022-05-27 14:30:00",97,13.5,23.64
"2022-05-27 15:00:00",98,13.46,24.04
"2022-05-27 15:30:00",99,13.49,23.44
"2022-05-27 16:00:00",100,13.45,23.9
"2022-05-27 16:30:00",101,13.45,24.13
"2022-05-27 17:00:00",102,13.43,24.22
"2022-05-27 17:30:00",103,13.46,23.7
"2022-05-27 18:00:00",104,13.54,23.32
"2022-05-27 18:30:00",105,13.54,22.95
"2022-05-27 19:00:00",106,13.54,21.34
"2022-05-27 19:30:00",107,13.44,18.4
"2022-05-27 20:00:00",108,13.18,17.46
"2022-05-27 20:30:00",109,13.09,15.77
"2022-05-27 21:00:00",110,13.06,15.51
"2022-05-27 21:30:00",111,13.04,16.27
"2022-05-27 22:00:00",112,13.03,15.75
"2022-05-27 22:30:00",113,13.02,14.47
"2022-05-27 23:00:00",114,13.01,13.4
"2022-05-27 23:30:00",115,13,12.6
"2022-05-28 00:00:00",116,12.98,11.33
"2022-05-28 00:30:00",117,12.97,10.93
"2022-05-28 01:00:00",118,12.96,10.79
"2022-05-28 01:30:00",119,12.95,10.72
"2022-05-28 02:00:00",120,12.94,10.25
"2022-05-28 02:30:00",121,12.92,9.28
"2022-05-28 03:00:00",122,12.91,8.57
"2022-05-28 03:30:00",123,12.9,8.08
"2022-05-28 04:00:00",124,12.88,7.356
"2022-05-28 04:30:00",125,12.87,6.744
"2022-05-28 05:00:00",126,12.86,6.461
"2022-05-28 05:30:00",127,12.85,6.091
"2022-05-28 06:00:00",128,12.85,6.156
"2022-05-28 06:30:00",129,12.92,5.808
"2022-05-28 07:00:00",130,13.17,7.97
"2022-05-28 07:30:00",131,13.99,9.62
"2022-05-28 08:00:00",132,14.31,12.84
"2022-05-28 08:30:00",133,14.19,15.77
"2022-05-28 09:00:00",134,14.19,16.51
"2022-05-28 09:30:00",135,14.16,17.31
"2022-05-28 10:00:00",136,13.82,17.49
"2022-05-28 10:30:00",137,13.7,18.2
"2022-05-28 11:00:00",138,13.66,18.4
"2022-05-28 11:30:00",139,13.56,20.24
"2022-05-28 12:00:00",140,13.57,19.97
"2022-05-28 12:30:00",141,13.69,20.21
