"TOA5","Pen2 Dunes CR1K","CR1000","66462","CR1000.Std.32.03","CPU:FIELD_READY_PEN_2_05252022.CR1","38252","Pen2_table"
"TIMESTAMP","RECORD","windSpeed_Avg","windDirection_Avg","GustWindSpeed_Avg","AirTemp_Avg","XOrientation_Avg","YOrientation_Avg","CompassHeading_Avg","N_Wind_Avg","E_Wind_Avg","GustWindSpeed2_Avg","windSpeed_Max","windDirection_Max","GustWindSpeed_Max","AirTemp_Max","XOrientation_Max","YOrientation_Max","CompassHeading_Max","N_Wind_Max","E_Wind_Max","GustWindSpeed2_Max","windSpeed_Min","windDirection_Min","GustWindSpeed_Min","AirTemp_Min","XOrientation_Min","YOrientation_Min","CompassHeading_Min","N_Wind_Min","E_Wind_Min","GustWindSpeed2_Min","windSpeed_Std","windDirection_Std","GustWindSpeed_Std","AirTemp_Std","XOrientation_Std","YOrientation_Std","CompassHeading_Std","N_Wind_Std","E_Wind_Std","GustWindSpeed2_Std","PAR_Den_Avg","PAR_Den_Max","PAR_Den_Min","PAR_Den_Std","PAR_Tot_Tot","TT_C_Avg","TT_C_Max","TT_C_Min","TT_C_Std","TT_C_2_Avg","TT_C_2_Max","TT_C_2_Min","TT_C_2_Std","TT_C_3_Avg","TT_C_3_Max","TT_C_3_Min","TT_C_3_Std","Rain_mm_Tot","TmV_Avg(1)","TmV_Avg(2)","TmV_Avg(3)","SBTemp_Avg(1)","SBTemp_Avg(2)","SBTemp_Avg(3)","TargTemp_Avg(1)","TargTemp_Avg(2)","TargTemp_Avg(3)","TmV_Std(1)","TmV_Std(2)","TmV_Std(3)","SBTemp_Std(1)","SBTemp_Std(2)","SBTemp_Std(3)","TargTemp_Std(1)","TargTemp_Std(2)","TargTemp_Std(3)","vaporPress_Avg","temperature_Avg","relativeHumidity_Avg","atmosphericPress_Avg","vaporPress_Max","temperature_Max","relativeHumidity_Max","atmosphericPress_Max","vaporPress_Min","temperature_Min","relativeHumidity_Min","atmosphericPress_Min","vaporPress_Std","temperature_Std","relativeHumidity_Std","atmosphericPress_Std","VWC_S1_Avg","T_S1_Avg","VWC_S2_Avg","T_S2_Avg","VWC_S3_Avg","T_S3_Avg","VWC_S4_Avg","T_S4_Avg","VWC_M1_Avg","T_M1_Avg","VWC_M2_Avg","T_M2_Avg","VWC_M3_Avg","T_M3_Avg","VWC_M4_Avg","T_M4_Avg","VWC_N1_Avg","T_N1_Avg","VWC_N2_Avg","T_N2_Avg","VWC_N3_Avg","T_N3_Avg","VWC_N4_Avg","T_N4_Avg","VWC_S1_Std","T_S1_Std","VWC_S2_Std","T_S2_Std","VWC_S3_Std","T_S3_Std","VWC_S4_Std","T_S4_Std","VWC_M1_Std","T_M1_Std","VWC_M2_Std","T_M2_Std","VWC_M3_Std","T_M3_Std","VWC_M4_Std","T_M4_Std","VWC_N1_Std","T_N1_Std","VWC_N2_Std","T_N2_Std","VWC_N3_Std","T_N3_Std","VWC_N4_Std","T_N4_Std"
"TS","RN","m/s","hdg","m/s","C","hdg","hdg","hdg","m/s","m/s","m/s","m/s","hdg","m/s","C","hdg","hdg","hdg","m/s","m/s","m/s","m/s","hdg","m/s","C","hdg","hdg","hdg","m/s","m/s","m/s","m/s","hdg","m/s","C","hdg","hdg","hdg","m/s","m/s","m/s","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","mmol/m^2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","kPa","C","unitless","kPa","kPa","C","unitless","kPa","kPa","C","unitless","kPa","kPa","C","unitless","kPa","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C","m3/m3","C"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Avg","Max","Min","Std","Tot","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Std","Std","Std","Std","Std","Std","Std","Std","Std","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Min","Min","Min","Min","Std","Std","Std","Std","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std"
"2022-05-25 14:00:00",0,2.733,225.9,3.291,13.57,-1.986,0.057,0,-0.287,-2.686,3.291,3.5,275,4.91,16.1,0,0.6,0,0.29,0,4.91,0,0,0,0,-2.5,-0.2,0,-0.98,-3.5,0,1.165,92.6,1.482,5.544,0.82,0.244,0,0.468,1.149,1.482,2428,2436,2418,6.695,84.9765,20.93,21.34,20.65,0.241,"NAN","NAN","NAN","NAN",24.08,24.78,23.62,0.39,0,"NAN","NAN",0.095,-52.57,-51.89,18.37,"NAN","NAN",20.53,"NAN","NAN",0.01,0.011,0.133,0.064,"NAN","NAN",0.275,0.54,13.61,0.299,68.09,0.641,16.1,0.355,79.44,0,0,0,0,0.221,5.559,0.122,27.8,"NAN",15.8,"NAN",13.2,"NAN",8.3,"NAN",7.686,0.119,16.23,0.104,8.1,0.095,7.071,0.09,7.7,"NAN",0,"NAN",6.6,0.086,8,0.093,7.4,"NAN",0,"NAN",0,"NAN",0,"NAN",3.138,0,0.045,0.001,0,0.001,0.045,0.001,0,"NAN",0,"NAN",0,0,0,0,0
"2022-05-25 14:30:00",1,4.89,248.2,5.485,16.48,-2.317,-0.118,0,-1.759,-4.279,5.485,8.39,289.2,10.12,17.5,-1.6,2,0,1.36,-1.72,10.12,1.74,195.5,1.95,15.3,-3.9,-1,0,-7.12,-7.35,1.95,1.237,18.67,1.386,0.477,0.355,0.355,0,1.594,1.226,1.386,2371,2442,1979,48.89,1067.147,20.53,21.35,19.6,0.378,"NAN","NAN","NAN","NAN",23.88,25.11,21.28,0.8,0,"NAN","NAN",0.049,-52.61,-51.94,18.89,"NAN","NAN",19.95,"NAN","NAN",0.021,0.041,0.091,0.116,"NAN","NAN",0.538,0.638,16.72,0.336,79.42,0.681,17.1,0.362,79.44,0.598,16.2,0.311,79.4,0.016,0.268,0.009,0.01,"NAN",16.1,"NAN",13.36,"NAN",8.3,"NAN",8.96,0.119,16.58,0.104,8.3,0.095,7.1,0.091,7.7,"NAN",0,"NAN",6.692,"NAN",7.97,"NAN",7.396,"NAN",0.206,"NAN",0.078,"NAN",0.031,"NAN",0.048,0,0.178,0,0.083,0,0,0,0,"NAN",0,"NAN",0.027,"NAN",0.046,"NAN",0.042
"2022-05-25 15:00:00",2,5.852,236.3,6.544,17.1,-2.333,-0.122,0,-3.209,-4.427,6.544,10.93,292.4,11.76,18.3,-0.7,1,0,1.99,-1.86,11.76,2.36,199,2.44,16.3,-3.3,-1.4,0,-8.29,-8.05,2.44,1.899,21.2,2.078,0.443,0.431,0.38,0,2.371,1.526,2.078,2303,2377,2270,24.82,1036.139,20.86,21.85,19.87,0.436,"NAN","NAN","NAN","NAN",23.68,26.14,21.73,0.999,0,"NAN","NAN",0.068,-52.66,-51.86,19.14,"NAN","NAN",20.66,"NAN","NAN",0.018,0.029,0.03,0.084,"NAN","NAN",0.449,0.628,17.26,0.319,79.39,0.674,17.8,0.338,79.4,0.585,16.7,0.293,79.36,0.02,0.321,0.009,0.009,0.133,16.69,"NAN",13.58,"NAN",8.3,"NAN",8.9,0.119,17.18,0.104,8.59,0.095,7.1,0.091,7.7,"NAN",0,"NAN",6.71,"NAN",7.9,"NAN",7.4,0.001,0.172,"NAN",0.076,"NAN",0,"NAN",0,0,0.182,0,0.081,0,0,0,0,"NAN",0,"NAN",0.03,"NAN",0,"NAN",0
"2022-05-25 15:30:00",3,5.51,248.2,6.221,17.72,-2.229,0.05,0,-1.904,-4.533,6.221,10.78,318.8,12.5,18.7,0.3,1.6,0,4.38,-1.52,12.5,1.54,207.3,1.81,16.6,-4.5,-1.6,0,-6.41,-9.46,1.81,1.69,27.49,1.959,0.482,0.558,0.445,0,2.519,1.639,1.959,2156,2288,1080,146.8,969.9858,20.65,21.67,18.35,0.668,"NAN","NAN","NAN","NAN",23.25,24.74,21.48,0.747,0,"NAN","NAN",0.066,-52.7,-51.86,19.15,"NAN","NAN",20.62,"NAN","NAN",0.026,0.021,0.031,0.245,"NAN","NAN",0.65,0.632,17.87,0.309,79.38,0.673,18.4,0.333,79.39,0.6,17.2,0.29,79.37,0.02,0.331,0.009,0.006,"NAN",17.29,"NAN",13.86,"NAN",8.3,"NAN",8.9,0.119,17.8,0.104,8.9,0.095,7.1,0.091,7.61,"NAN",0,"NAN",6.802,"NAN",7.9,"NAN",7.4,"NAN",0.189,"NAN",0.1,"NAN",0,"NAN",0,0,0.175,0,0.094,0,0,0,0.03,"NAN",0,"NAN",0.015,"NAN",0,"NAN",0
"2022-05-25 16:00:00",4,5.632,244.5,6.428,18.53,-2.318,-0.067,0,-2.481,-4.788,6.428,10.29,289.6,11.15,19.7,-1,1.6,0,1.42,-2.37,11.15,2.51,204.4,2.97,17.7,-3.6,-2.1,0,-7.35,-8.4,2.97,1.726,16.73,1.881,0.42,0.457,0.466,0,1.929,1.376,1.881,2052,2135,1941,46.74,923.5596,20.97,21.76,20.27,0.324,"NAN","NAN","NAN","NAN",23.29,24.55,21.19,0.791,0,"NAN","NAN",0.047,-52.66,-51.9,19.78,"NAN","NAN",20.8,"NAN","NAN",0.018,0.027,0.022,0.24,"NAN","NAN",0.436,0.643,18.72,0.298,79.36,0.694,19.1,0.314,79.38,0.61,18.1,0.283,79.33,0.017,0.215,0.007,0.013,"NAN",16.32,"NAN",14.11,"NAN",8.3,"NAN",8.89,0.119,18.34,0.105,9.25,0.095,7.1,0.091,7.6,"NAN",0,"NAN",6.879,"NAN",7.9,"NAN",7.4,"NAN",4.788,"NAN",0.086,"NAN",0,"NAN",0.094,0,0.147,0,0.107,0,0,0,0,"NAN",0,"NAN",0.041,"NAN",0,"NAN",0
"2022-05-25 16:30:00",5,5.991,238.1,6.637,19.02,-2.37,-0.172,0,-3.194,-4.759,6.637,9.65,298.7,9.72,19.8,-1.1,0.8,0,1.97,-2.26,9.72,2.67,207.7,3.09,17.9,-3.7,-1.2,0,-6.68,-8.11,3.09,1.625,19.01,1.767,0.417,0.499,0.428,0,1.932,1.397,1.767,1854,2137,466.2,419.1,593.3486,20.75,21.55,18.39,0.652,"NAN","NAN","NAN","NAN",22.19,23.94,19.79,0.898,0,"NAN","NAN",0.033,-52.62,-51.91,20.28,"NAN","NAN",20.95,"NAN","NAN",0.025,0.027,0.023,0.201,"NAN","NAN",0.637,0.634,19.06,0.288,79.34,0.684,19.8,0.304,79.36,0.597,18.2,0.274,79.32,0.021,0.347,0.007,0.01,"NAN",17.9,"NAN",14.2,"NAN",8.3,"NAN",8.9,0.119,18.85,0.105,9.6,0.095,7.097,0.091,7.6,"NAN",0,"NAN",6.9,"NAN",7.9,"NAN",7.4,"NAN",0,"NAN",0,"NAN",0,"NAN",0,0.001,0.147,0,0.102,0,0.017,0,0,"NAN",0,"NAN",0,"NAN",0,"NAN",0
"2022-05-25 17:00:00",6,4.806,293.4,5.507,19.25,-2.316,-0.011,0,2.819,-2.985,5.507,8.76,360,10.26,20.6,-1.3,0.9,0,7.07,0.57,10.26,2.51,0.9,2.89,18.4,-4,-0.8,0,-3.06,-8.21,2.89,1.321,69.91,1.549,0.482,0.359,0.28,0,2.381,1.521,1.549,1577,1830,453.9,225.6,709.4979,20.13,21.4,17.77,0.814,"NAN","NAN","NAN","NAN",20.81,22.99,17.64,1.384,0,"NAN","NAN",0.02,-52.6,-51.91,19.9,"NAN","NAN",20.24,"NAN","NAN",0.022,0.021,0.017,0.512,"NAN","NAN",0.857,0.695,19.59,0.305,79.33,0.741,20.3,0.328,79.34,0.656,19,0.281,79.31,0.016,0.367,0.01,0.006,"NAN",17.9,"NAN",14.2,"NAN",8.3,"NAN",8.9,0.119,19.25,0.105,9.92,0.095,7.1,0.091,7.6,"NAN",0,"NAN",6.9,"NAN",7.9,"NAN",7.4,"NAN",0,"NAN",0,"NAN",0,"NAN",0,0,0.11,0,0.101,0,0,0,0,"NAN",0,"NAN",0,"NAN",0,"NAN",0
"2022-05-25 17:30:00",7,6.261,316.9,7.122,19.06,-2.321,-0.037,0,4.479,-4.114,7.122,9.13,351.8,10.66,19.8,-0.1,2.3,0,7.84,-0.73,10.66,2.95,290.7,3.24,18.5,-4.5,-2.2,0,1.84,-6.66,3.24,1.227,13.76,1.475,0.298,0.65,0.623,0,1.474,1.237,1.475,1369,1611,873,245.8,615.8513,18.82,20.11,16.88,0.952,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",0.004,"NAN","NAN",19.11,"NAN","NAN",19.07,"NAN","NAN",0.026,"NAN","NAN",0.26,"NAN","NAN",0.77,0.646,19.33,0.288,79.32,0.705,19.7,0.316,79.34,0.605,18.9,0.266,79.31,0.024,0.28,0.012,0.007,"NAN",17.9,"NAN",14.2,"NAN",8.3,"NAN",8.9,0.119,19.62,0.105,10.24,0.095,7.188,0.091,7.6,"NAN",0,"NAN",6.9,"NAN",7.9,"NAN",7.4,"NAN",0,"NAN",0,"NAN",0,"NAN",0,0,0.101,0,0.098,0,0.033,0,0,"NAN",0,"NAN",0,"NAN",0,"NAN",0
