"TOA5","Sanddune-Pen-1","CR1000","60956","CR1000.Std.28.02","CPU:FIELD_READY_PEN_1.CR1","36561","BattMin_PTemp"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp"
"TS","RN","",""
"","","Min","Smp"
"2021-05-25 09:00:00",0,12.98,14.88
"2021-05-25 10:00:00",1,13.09,20.18
"2021-05-25 11:00:00",2,12.73,21.53
"2021-05-25 12:00:00",3,12.87,22.87
"2021-05-25 13:00:00",4,13.1,23.78
"2021-05-25 14:00:00",5,13.3,25.76
"2021-05-25 15:00:00",6,13.05,25.19
"2021-05-25 16:00:00",7,13.06,26.41
"2021-05-25 17:00:00",8,12.53,24.04
"2021-05-25 18:00:00",9,12.52,25.4
"2021-05-25 19:00:00",10,12.86,22.42
"2021-05-25 20:00:00",11,12.78,17.97
"2021-05-25 21:00:00",12,12.69,12.46
"2021-05-25 22:00:00",13,12.68,10.2
"2021-05-25 23:00:00",14,12.67,11.45
"2021-05-26 00:00:00",15,12.66,11.4
"2021-05-26 01:00:00",16,12.65,11.29
"2021-05-26 02:00:00",17,12.65,10.77
"2021-05-26 03:00:00",18,12.64,9.93
"2021-05-26 04:00:00",19,12.64,8.41
"2021-05-26 05:00:00",20,12.63,7.225
"2021-05-26 06:00:00",21,12.63,6.635
"2021-05-26 07:00:00",22,12.67,8.17
"2021-05-26 08:00:00",23,13.64,16.61
"2021-05-26 09:00:00",24,13.59,18.48
"2021-05-26 10:00:00",25,13.71,28.46
"2021-05-26 11:00:00",26,13.53,24.75
"2021-05-26 12:00:00",27,13.44,26.5
"2021-05-26 13:00:00",28,13.43,27.37
"2021-05-26 14:00:00",29,13.45,26.34
"2021-05-26 15:00:00",30,13.58,26.31
"2021-05-26 16:00:00",31,13.59,24.89
"2021-05-26 17:00:00",32,13.39,20.05
"2021-05-26 18:00:00",33,13.32,20.18
"2021-05-26 19:00:00",34,13.35,19.23
"2021-05-26 20:00:00",35,13.23,20
"2021-05-26 21:00:00",36,12.97,13.99
"2021-05-26 22:00:00",37,12.92,10.56
"2021-05-26 23:00:00",38,12.91,8.86
"2021-05-27 00:00:00",39,12.89,7.464
"2021-05-27 01:00:00",40,12.88,4.988
"2021-05-27 02:00:00",41,12.87,4.685
"2021-05-27 03:00:00",42,12.86,1.861
"2021-05-27 04:00:00",43,12.86,0.16
"2021-05-27 05:00:00",44,12.85,-1.268
"2021-05-27 06:00:00",45,12.85,-2.142
"2021-05-27 07:00:00",46,12.98,1.97
"2021-05-27 08:00:00",47,13.91,18.46
"2021-05-27 09:00:00",48,13.85,27.18
"2021-05-27 10:00:00",49,13.77,30.46
"2021-05-27 11:00:00",50,13.66,27.66
"2021-05-27 12:00:00",51,13.66,28.27
"2021-05-27 13:00:00",52,13.59,27.63
"2021-05-27 14:00:00",53,13.54,28.85
"2021-05-27 15:00:00",54,13.52,29.72
"2021-05-27 16:00:00",55,13.57,29.42
"2021-05-27 17:00:00",56,13.66,29.15
"2021-05-27 18:00:00",57,13.52,29.22
"2021-05-27 19:00:00",58,13.43,25.73
"2021-05-27 20:00:00",59,13.26,24.89
"2021-05-27 21:00:00",60,13.01,15.02
"2021-05-27 22:00:00",61,12.96,9.68
"2021-05-27 23:00:00",62,12.94,7.094
"2021-05-28 00:00:00",63,12.93,4.322
"2021-05-28 01:00:00",64,12.92,3.228
"2021-05-28 02:00:00",65,12.91,2.887
"2021-05-28 03:00:00",66,12.89,0.903
"2021-05-28 04:00:00",67,12.89,0.671
"2021-05-28 05:00:00",68,12.88,1.543
"2021-05-28 06:00:00",69,12.88,2.95
"2021-05-28 07:00:00",70,13.09,8.21
"2021-05-28 08:00:00",71,13.76,18.64
"2021-05-28 09:00:00",72,13.72,23.64
"2021-05-28 10:00:00",73,13.68,28.2
"2021-05-28 11:00:00",74,13.68,30.29
"2021-05-28 12:00:00",75,13.63,31.65
"2021-05-28 13:00:00",76,13.58,33.47
"2021-05-28 14:00:00",77,13.55,31.05
"2021-05-28 15:00:00",78,13.56,26.68
"2021-05-28 16:00:00",79,13.69,26.1
"2021-05-28 17:00:00",80,13.78,23.84
"2021-05-28 18:00:00",81,13.85,23.44
"2021-05-28 19:00:00",82,13.86,21.78
"2021-05-28 20:00:00",83,13.37,17.92
"2021-05-28 21:00:00",84,13.09,14.54
"2021-05-28 22:00:00",85,13.02,12.33
"2021-05-28 23:00:00",86,12.99,12.67
"2021-05-29 00:00:00",87,12.98,11.36
"2021-05-29 01:00:00",88,12.96,10.38
"2021-05-29 02:00:00",89,12.95,9.95
"2021-05-29 03:00:00",90,12.94,8.5
"2021-05-29 04:00:00",91,12.93,7.444
"2021-05-29 05:00:00",92,12.92,5.788
"2021-05-29 06:00:00",93,12.92,5.203
"2021-05-29 07:00:00",94,13.14,7.18
"2021-05-29 08:00:00",95,13.89,10.61
"2021-05-29 09:00:00",96,13.85,12.77
"2021-05-29 10:00:00",97,13.69,17.24
"2021-05-29 11:00:00",98,13.68,23.96
"2021-05-29 12:00:00",99,13.69,26.28
"2021-05-29 13:00:00",100,13.65,32.15
"2021-05-29 14:00:00",101,13.5,32.48
"2021-05-29 15:00:00",102,13.5,30.16
"2021-05-29 16:00:00",103,13.54,24.95
"2021-05-29 17:00:00",104,13.68,20.4
"2021-05-29 18:00:00",105,13.84,19.68
"2021-05-29 19:00:00",106,13.85,18.51
"2021-05-29 20:00:00",107,13.49,15.04
"2021-05-29 21:00:00",108,13.18,12.7
"2021-05-29 22:00:00",109,13.07,11.63
"2021-05-29 23:00:00",110,13.02,10.58
"2021-05-30 00:00:00",111,12.99,9.55
"2021-05-30 01:00:00",112,12.97,7.993
"2021-05-30 02:00:00",113,12.96,7.444
"2021-05-30 03:00:00",114,12.95,7.729
"2021-05-30 04:00:00",115,12.94,7.751
"2021-05-30 05:00:00",116,12.93,7.159
"2021-05-30 06:00:00",117,12.92,6.524
"2021-05-30 07:00:00",118,12.93,6.199
"2021-05-30 08:00:00",119,13.27,6.852
"2021-05-30 09:00:00",120,13.87,11.08
"2021-05-30 10:00:00",121,13.74,16.32
"2021-05-30 11:00:00",122,13.74,16.66
"2021-05-30 12:00:00",123,13.74,18.53
"2021-05-30 13:00:00",124,13.73,20.45
"2021-05-30 14:00:00",125,13.63,25.58
"2021-05-30 15:00:00",126,13.65,23.99
"2021-05-30 16:00:00",127,13.73,21.29
"2021-05-30 17:00:00",128,13.78,21.64
"2021-05-30 18:00:00",129,13.84,21.29
"2021-05-30 19:00:00",130,13.87,16.59
"2021-05-30 20:00:00",131,13.77,13.99
"2021-05-30 21:00:00",132,13.31,10.09
"2021-05-30 22:00:00",133,13.14,8.04
"2021-05-30 23:00:00",134,13.06,7.18
"2021-05-31 00:00:00",135,13.02,6.524
"2021-05-31 01:00:00",136,12.99,4.451
"2021-05-31 02:00:00",137,12.97,4.322
"2021-05-31 03:00:00",138,12.95,2.652
"2021-05-31 04:00:00",139,12.94,-0.052
"2021-05-31 05:00:00",140,12.93,-1.01
"2021-05-31 06:00:00",141,12.92,-1.5
