"TOA5","Sanddune-Pen-1","CR1000","60956","CR1000.Std.28.02","CPU:FIELD_READY_PEN_1.CR1","36561","PAR"
"TIMESTAMP","RECORD","PAR_Den_Avg","PAR_Den_Max","PAR_Den_Min","PAR_Tot_Tot"
"TS","RN","umol/s/m^2","umol/s/m^2","umol/s/m^2","mmol/m^2"
"","","Avg","Max","Min","Tot"
"1990-07-28 16:45:00",0,617.8,1018,224.4,37.07066
"2021-05-25 08:30:00",1,1128,1170,1086,191.7241
"2021-05-25 08:45:00",2,1229,1284,1174,276.6088
"2021-05-25 09:00:00",3,1344,1400,1287,302.3351
"2021-05-25 09:15:00",4,1456,1509,1403,327.6489
"2021-05-25 09:30:00",5,1563,1615,1511,351.7354
"2021-05-25 09:45:00",6,1664,1710,1618,374.3874
"2021-05-25 10:00:00",7,1760,1807,1713,395.8987
"2021-05-25 10:15:00",8,1862,1947,1807,418.9596
"2021-05-25 10:30:00",9,1782,2202,417.6,401.0196
"2021-05-25 10:45:00",10,1693,2332,342.6,380.8932
"2021-05-25 11:00:00",11,2029,2484,420.8,456.5071
"2021-05-25 11:15:00",12,1972,2463,436.5,443.6423
"2021-05-25 11:30:00",13,2249,2476,545.4,506.0611
"2021-05-25 11:45:00",14,2355,2450,2254,529.8142
"2021-05-25 12:00:00",15,2371,2437,2339,533.3641
"2021-05-25 12:15:00",16,2484,2671,2347,558.8096
"2021-05-25 12:30:00",17,2397,2463,2379,539.3748
"2021-05-25 12:45:00",18,2394,2405,2387,538.5442
"2021-05-25 13:00:00",19,2240,2544,424.6,503.9384
"2021-05-25 13:15:00",20,2435,2680,1317,547.8257
"2021-05-25 13:30:00",21,2474,2642,1622,556.6686
"2021-05-25 13:45:00",22,2495,2557,2452,561.2952
"2021-05-25 14:00:00",23,2428,2536,2392,546.3332
"2021-05-25 14:15:00",24,2382,2392,2374,535.8564
"2021-05-25 14:30:00",25,2391,2426,2366,537.8907
"2021-05-25 14:45:00",26,1962,2590,518.4,441.4113
"2021-05-25 15:00:00",27,1169,2703,523.1,263.1135
"2021-05-25 15:15:00",28,1607,2784,632.8,361.5647
"2021-05-25 15:30:00",29,2163,2649,621,486.7332
"2021-05-25 15:45:00",30,2019,2511,594.2,454.3163
"2021-05-25 16:00:00",31,1440,2362,437.9,324.048
"2021-05-25 16:15:00",32,1407,2401,439.5,316.6514
"2021-05-25 16:30:00",33,1171,2338,659.6,263.5405
"2021-05-25 16:45:00",34,1354,2211,714,304.7363
"2021-05-25 17:00:00",35,653.6,1998,479,147.0693
"2021-05-25 17:15:00",36,1441,1852,429.3,324.2724
"2021-05-25 17:30:00",37,1164,1641,475.1,261.9382
