"TOA5","Sanddune-Pen-1","CR1000","60956","CR1000.Std.28.02","CPU:FIELD_READY_PEN_1_06212021.CR1","50777","PAR_RAD_PRECIP"
"TIMESTAMP","RECORD","PAR_Den_Avg","PAR_Den_Max","PAR_Den_Min","PAR_Den_Std","PAR_Tot_Tot","TT_C_Avg","TT_C_Max","TT_C_Min","TT_C_Std","TT_C_2_Avg","TT_C_2_Max","TT_C_2_Min","TT_C_2_Std","TT_C_3_Avg","TT_C_3_Max","TT_C_3_Min","TT_C_3_Std","Rain_mm_Tot"
"TS","RN","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","mmol/m^2","","","","","","","","","","","","",""
"","","Avg","Max","Min","Std","Tot","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Tot"
"2021-06-24 12:30:00",0,2385,2436,2297,40.6,369.662,37.66,38.4,36.77,0.466,38.58,39.23,37.96,0.398,"NAN","NAN","NAN","NAN",0
"2021-06-24 13:00:00",1,2453,2489,2353,30.74,846.3863,39.7,41.46,37.82,1.036,40.72,41.92,38.91,0.731,"NAN","NAN","NAN","NAN",0
"2021-06-24 13:30:00",2,2437,2636,1692,177.6,1096.432,41.46,43.05,40.36,0.531,41.38,42.82,40.03,0.602,"NAN","NAN","NAN","NAN",0
"2021-06-24 14:00:00",3,2202,2954,812,755.2,990.7305,31.04,45.2,-18.53,14.73,25.72,42.67,-38.26,11.66,"NAN","NAN","NAN","NAN",0
"2021-06-24 16:00:00",0,1103,2259,362.9,719.9,485.3615,25.41,28.91,23.39,1.826,23.74,27.06,21.71,1.68,0,0,0,0,0
"2021-06-24 16:30:00",1,118.1,347.1,72.57,63.1,53.13195,18.82,23.84,12.37,3.623,17.39,22.61,11.8,3.309,0,0,0,0,0.278
"2021-06-24 17:00:00",2,128.8,143.6,111.3,10.17,57.97493,14.48,15.38,13.43,0.626,13.77,14.75,12.87,0.601,0,0,0,0,0.278
"2021-06-24 17:30:00",3,104,112.9,80.5,9.59,46.80866,13,13.68,12.55,0.333,12.48,13.08,11.98,0.299,0,0,0,0,0.556
"2021-06-24 18:00:00",4,83,100.3,69.51,8.71,37.35964,12.11,12.68,11.85,0.21,11.79,12.26,11.52,0.154,0,0,0,0,0.278
"2021-06-24 18:30:00",5,53.47,69.51,33.18,11.11,24.06343,12.32,12.63,12.02,0.164,12.07,12.47,11.65,0.22,0,0,0,0,1.112
"2021-06-24 19:00:00",6,40.32,56.09,30.02,9.09,18.1423,12.44,12.69,12.07,0.144,12.22,12.52,11.71,0.196,0,0,0,0,2.502
"2021-06-24 19:30:00",7,81,98.8,57.67,11.56,36.44992,12.34,12.6,12.02,0.152,12.06,12.48,11.62,0.204,0,0,0,0,0.278
"2021-06-24 20:00:00",8,59.28,73.48,39.5,10.51,26.67634,12.13,12.26,11.97,0.052,11.84,12.02,11.71,0.061,0,0,0,0,0
"2021-06-24 20:30:00",9,24.08,38.71,10.27,8.54,10.83544,12.14,12.31,12,0.066,12.01,12.14,11.89,0.067,0,0,0,0,0
"2021-06-24 21:00:00",10,4.249,10.27,0.79,2.475,1.911966,12.23,12.33,12.16,0.033,12.22,12.31,12.12,0.041,0,0,0,0,0
"2021-06-24 21:30:00",11,0.404,0.79,0,0.395,0.1817137,12.05,12.15,11.99,0.04,12.05,12.19,11.96,0.058,0,0,0,0,0
"2021-06-24 22:00:00",12,0,0,0,0,0,11.88,12,11.78,0.049,12.15,12.24,12,0.054,0,0,0,0,0
"2021-06-24 22:30:00",13,0,0,0,0,0,11.9,11.97,11.81,0.048,12.16,12.26,12.04,0.055,0,0,0,0,0
"2021-06-24 23:00:00",14,0,0,0,0,0,11.89,11.96,11.83,0.031,11.88,12.04,11.75,0.074,0,0,0,0,0.278
"2021-06-24 23:30:00",15,0.009,0.79,0,0.083,0.003950123,11.79,11.88,11.73,0.04,11.77,11.92,11.7,0.053,0,0,0,0,0
"2021-06-25 00:00:00",16,0,0,0,0,0,11.92,12.17,11.79,0.098,12,12.38,11.85,0.135,0,0,0,0,0
"2021-06-25 00:30:00",17,0.009,0.79,0,0.083,0.003950012,12.12,12.33,11.97,0.095,12.27,12.52,12.08,0.122,0,0,0,0,0
"2021-06-25 01:00:00",18,0,0,0,0,0,12.11,12.21,12.05,0.037,12.2,12.36,12.05,0.08,0,0,0,0,0
"2021-06-25 01:30:00",19,0.009,0.79,0,0.083,0.003950153,11.95,12.08,11.7,0.061,11.87,12.07,11.58,0.087,0,0,0,0,0
"2021-06-25 02:00:00",20,0.009,0.79,0,0.083,0.003950109,11.66,11.75,11.41,0.065,11.5,11.62,11.16,0.081,0,0,0,0,0.834
"2021-06-25 02:30:00",21,0,0,0,0,0,11.62,11.73,11.52,0.048,11.47,11.6,11.34,0.065,0,0,0,0,1.112
"2021-06-25 03:00:00",22,0,0,0,0,0,11.4,11.58,11.19,0.105,11.26,11.45,10.96,0.113,0,0,0,0,1.39
"2021-06-25 03:30:00",23,0,0,0,0,0,11.23,11.49,11.12,0.081,11.05,11.39,10.89,0.098,0,0,0,0,0
"2021-06-25 04:00:00",24,0,0,0,0,0,11.16,11.45,10.73,0.273,11.13,11.41,10.66,0.247,0,0,0,0,5.56
"2021-06-25 04:30:00",25,0,0,0,0,0,10.78,10.83,10.7,0.027,10.74,10.82,10.7,0.025,0,0,0,0,5.56
"2021-06-25 05:00:00",26,0,0,0,0,0,10.76,10.85,10.3,0.11,10.74,10.82,10.51,0.045,0,0,0,0,4.726
"2021-06-25 05:30:00",27,0.219,0.79,0,0.354,0.09876544,10.22,10.46,9.93,0.123,10.23,10.5,10.04,0.129,0,0,0,0,3.336
"2021-06-25 06:00:00",28,4.557,7.902,0.79,2.114,2.050601,10.01,10.37,9.85,0.14,10.07,10.34,9.91,0.109,0,0,0,0,2.224
"2021-06-25 06:30:00",29,24.04,37.93,7.112,10.35,10.8187,9.96,10.08,9.82,0.062,9.91,9.99,9.85,0.026,0,0,0,0,0
"2021-06-25 07:00:00",30,60.86,113.8,34.77,24.35,27.38673,10.12,10.34,9.98,0.08,10.03,10.18,9.92,0.063,0,0,0,0,0.278
"2021-06-25 07:30:00",31,102.6,153.3,66.38,22.57,46.16745,10.34,10.47,10.18,0.062,10.25,10.35,10.15,0.048,0,0,0,0,0
"2021-06-25 08:00:00",32,121.5,167.5,79.03,25.96,54.68672,10.39,10.55,10.22,0.088,10.35,10.44,10.22,0.06,0,0,0,0,0.278
"2021-06-25 08:30:00",33,250.4,434.6,91.7,103.7,112.6923,10.43,10.95,10.09,0.21,10.36,10.69,10.12,0.164,0,0,0,0,0.278
"2021-06-25 09:00:00",34,268.9,376.1,175.4,54.95,121.0272,10.71,10.92,10.55,0.082,10.69,10.82,10.55,0.061,0,0,0,0,0
"2021-06-25 09:30:00",35,264.6,342.9,158,49.89,119.0703,10.86,11.07,10.65,0.09,10.79,10.93,10.64,0.069,0,0,0,0,0
"2021-06-25 10:00:00",36,663.9,1100,222.8,238.5,298.7508,11.43,12.21,10.72,0.434,11.39,12.25,10.74,0.436,0,0,0,0,0
"2021-06-25 10:30:00",37,1029,1341,685.7,155.7,463.2682,12.5,13.03,11.93,0.246,12.41,12.86,11.97,0.189,0,0,0,0,0
"2021-06-25 11:00:00",38,773.3,1272,530.8,172.2,347.9846,12.46,13.08,11.99,0.242,12.37,12.82,11.9,0.228,0,0,0,0,0
"2021-06-25 11:30:00",39,602.1,762.9,372.7,107.6,270.9346,12.34,12.74,11.97,0.16,12.26,12.51,11.94,0.142,0,0,0,0,0
"2021-06-25 12:00:00",40,691,1010,443.8,167.3,310.9525,12.57,13.05,12.2,0.221,12.53,12.88,12.31,0.155,0,0,0,0,0
"2021-06-25 12:30:00",41,674.6,891,402.8,156.4,303.559,12.82,13.12,12.36,0.142,12.75,13.02,12.53,0.119,0,0,0,0,0
"2021-06-25 13:00:00",42,404,538.6,284.3,76.87,181.778,12.32,12.67,11.94,0.197,12.27,12.54,11.98,0.189,0,0,0,0,0.278
"2021-06-25 13:30:00",43,430,625.5,336.5,95.3,193.4962,12.39,12.75,12.02,0.166,12.31,12.56,12.02,0.148,0,0,0,0,0.556
"2021-06-25 14:00:00",44,526.9,681.6,388.6,105.9,237.1046,12.54,12.92,12.18,0.207,12.46,12.76,12.2,0.162,0,0,0,0,0.278
"2021-06-25 14:30:00",45,622.4,847,426.5,121.3,280.0817,13.29,14.04,12.67,0.321,13.19,13.79,12.65,0.317,0,0,0,0,0
"2021-06-25 15:00:00",46,1495,2856,874,460,672.5935,15.36,16.78,13.98,0.647,15.35,16.36,13.86,0.754,0,0,0,0,0
"2021-06-25 15:30:00",47,1964,2659,745.3,641.9,883.7971,16.84,18.32,15.17,0.864,17.24,18.61,15.88,0.766,0,0,0,0,0
"2021-06-25 16:00:00",48,1536,2523,756,723.6,691.0957,17.02,18.71,15.6,0.922,17.77,18.95,16.15,0.863,0,0,0,0,0
"2021-06-25 16:30:00",49,733.8,1215,609.2,117.6,330.2144,15.13,16.52,14.35,0.518,15.74,16.56,15.23,0.398,0,0,0,0,0
"2021-06-25 17:00:00",50,1410,2430,618.8,572.6,634.3945,16.4,18.75,14.5,0.989,17.36,18.62,15.33,0.959,0,0,0,0,0
"2021-06-25 17:30:00",51,490,1447,311,168,220.4794,14.84,17.29,14.11,0.526,15.9,18.12,14.8,0.818,0,0,0,0,0
"2021-06-25 18:00:00",52,429.1,683.6,268.3,130.5,193.0993,14.23,14.64,13.95,0.163,14.83,15.37,14.57,0.209,0,0,0,0,0
"2021-06-25 18:30:00",53,354.7,530.4,268.4,72.96,159.6371,13.23,14.34,12.15,0.614,14.71,15.31,14.19,0.298,0,0,0,0,0
"2021-06-25 19:00:00",54,218.7,270,180,27.21,98.41863,11.48,12.11,11.1,0.317,13.64,14.18,13.19,0.308,0,0,0,0,0
"2021-06-25 19:30:00",55,437,644.4,195.8,142.1,196.6425,12.57,13.56,11.3,0.746,14.31,15.31,13.01,0.823,0,0,0,0,0
"2021-06-25 20:00:00",56,264.7,439.1,74.21,117.9,119.0966,11.66,12.59,10.33,0.714,14.3,15.05,12.83,0.64,0,0,0,0,0
"2021-06-25 20:30:00",57,50.31,74.21,28.42,12.4,22.64063,10.13,10.67,9.84,0.196,11.82,12.76,11.25,0.459,0,0,0,0,0
"2021-06-25 21:00:00",58,7.825,28.42,2.369,7.41,3.52139,11.38,12.24,10.57,0.535,11.61,12.1,11,0.316,0,0,0,0,0
"2021-06-25 21:30:00",59,0.579,2.369,0,0.643,0.2606319,9.53,10.65,9.06,0.476,10.27,11.07,9.68,0.48,0,0,0,0,0
"2021-06-25 22:00:00",60,0,0,0,0,0,8.92,9.23,8.42,0.253,9.46,9.72,9.07,0.158,0,0,0,0,0
"2021-06-25 22:30:00",61,0,0,0,0,0,8.71,9.15,8.46,0.212,8.89,9.11,8.77,0.076,0,0,0,0,0
"2021-06-25 23:00:00",62,0,0,0,0,0,8.94,9.2,8.64,0.176,9.25,9.37,9,0.092,0,0,0,0,0
"2021-06-25 23:30:00",63,0,0,0,0,0,8.43,8.66,8.24,0.104,8.99,9.22,8.7,0.151,0,0,0,0,0
