"TOA5","Sanddune-Pen-1","CR1000","60956","CR1000.Std.28.02","CPU:FIELD_READY_PEN_1_06212021.CR1","4734","SI111"
"TIMESTAMP","RECORD","TmV_Avg(1)","TmV_Avg(2)","TmV_Avg(3)","TmV_Avg(4)","SBTemp_Avg(1)","SBTemp_Avg(2)","SBTemp_Avg(3)","SBTemp_Avg(4)","TargTemp_Avg(1)","TargTemp_Avg(2)","TargTemp_Avg(3)","TargTemp_Avg(4)","TmV_Std(1)","TmV_Std(2)","TmV_Std(3)","TmV_Std(4)","SBTemp_Std(1)","SBTemp_Std(2)","SBTemp_Std(3)","SBTemp_Std(4)","TargTemp_Std(1)","TargTemp_Std(2)","TargTemp_Std(3)","TargTemp_Std(4)"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std"
"2021-06-24 15:45:00",0,-0.108,-0.354,-0.027,-0.012,28.6,30.58,28.82,28.81,25.76,22.63,27.99,28.4,0.082,0.031,0.05,0.068,0.207,0.386,0.238,0.233,2.264,1.001,1.5,1.793
"2021-06-24 16:00:00",1,-0.05,-0.287,-0.069,-0.079,27.05,28.34,27.21,27.12,25.76,21.9,25.24,25.08,0.024,0.042,0.019,0.025,0.361,0.505,0.362,0.4,0.378,0.492,0.305,0.339
"2021-06-24 16:15:00",2,-0.098,-0.262,-0.111,-0.114,24.84,25.64,24.81,24.78,22.27,19.72,21.67,21.85,0.027,0.029,0.032,0.027,1.553,1.568,1.658,1.502,1.731,1.749,1.908,1.78
"2021-06-24 16:30:00",3,-0.104,-0.23,-0.103,-0.123,18.65,19.48,18.89,18.69,15.84,14.18,15.91,15.46,0.063,0.056,0.041,0.061,2.215,2.211,1.922,2.262,3.077,2.275,2.549,2.935
"2021-06-24 16:45:00",4,-0.008,-0.075,-0.013,-0.015,15.29,15.56,15.77,15.17,15.05,13.76,15.26,14.65,0.012,0.018,0.018,0.014,0.131,0.093,0.146,0.074,0.418,0.33,0.571,0.395
"2021-06-24 17:00:00",5,-0.038,-0.087,-0.04,-0.037,14.91,15.06,15.34,14.71,13.87,12.97,14.1,13.62,0.006,0.005,0.005,0.007,0.373,0.311,0.395,0.344,0.394,0.307,0.481,0.318
"2021-06-24 17:15:00",6,-0.025,-0.067,-0.035,-0.023,13.9,14.11,14.23,13.78,13.21,12.47,13.12,13.04,0.006,0.008,0.004,0.005,0.227,0.23,0.225,0.207,0.253,0.119,0.218,0.208
"2021-06-24 17:30:00",7,-0.018,-0.049,-0.031,-0.016,13.27,13.43,13.58,13.23,12.78,12.19,12.58,12.67,0.007,0.007,0.005,0.006,0.139,0.139,0.158,0.12,0.128,0.097,0.117,0.079
"2021-06-24 17:45:00",8,-0.016,-0.025,-0.03,-0.016,12.82,13.04,13.18,12.89,12.38,12.33,12.19,12.33,0.005,0.015,0.004,0.004,0.171,0.155,0.119,0.12,0.19,0.193,0.169,0.186
"2021-06-24 18:00:00",9,-0.015,-0.004,-0.032,-0.016,12.54,12.75,12.98,12.66,12.13,12.52,11.96,12.09,0.003,0.002,0.003,0.003,0.032,0.038,0.042,0.042,0.088,0.061,0.097,0.06
"2021-06-24 18:15:00",10,-0.009,-0.002,-0.011,-0.01,12.7,12.81,13.24,12.77,12.44,12.62,12.8,12.36,0.005,0.002,0.007,0.003,0.081,0.015,0.07,0.037,0.197,0.04,0.245,0.102
"2021-06-24 18:30:00",11,-0.009,-0.003,-0.017,-0.01,12.54,12.63,12.79,12.53,12.3,12.42,12.18,12.12,0.008,0.002,0.009,0.008,0.147,0.106,0.243,0.142,0.154,0.082,0.205,0.113
"2021-06-24 18:45:00",12,0.005,-0.011,-0.001,0.002,12.32,12.46,12.43,12.31,12.45,12.07,12.24,12.2,0.006,0.005,0.005,0.005,0.033,0.035,0.038,0.033,0.17,0.115,0.139,0.123
"2021-06-24 19:00:00",13,0.011,-0.012,0.002,0.004,12.54,12.67,12.65,12.54,12.83,12.25,12.57,12.48,0.003,0.004,0.003,0.004,0.062,0.069,0.069,0.066,0.075,0.063,0.07,0.071
"2021-06-24 19:15:00",14,0.008,-0.025,-0.001,-0.001,12.65,12.81,12.76,12.64,12.86,12.1,12.59,12.46,0.003,0.004,0.003,0.003,0.009,0.016,0.012,0.012,0.082,0.098,0.079,0.073
"2021-06-24 19:30:00",15,0.004,-0.037,-0.005,-0.005,12.61,12.73,12.67,12.57,12.7,11.75,12.4,12.28,0.003,0.004,0.003,0.003,0.052,0.053,0.054,0.057,0.126,0.143,0.127,0.106
"2021-06-24 19:45:00",16,0.008,-0.043,-0.002,-0.003,12.48,12.62,12.54,12.46,12.68,11.51,12.34,12.22,0.003,0.003,0.003,0.002,0.006,0.01,0.01,0.006,0.067,0.072,0.073,0.038
"2021-06-24 20:00:00",17,0.008,-0.044,-0.001,-0.004,12.49,12.6,12.56,12.48,12.69,11.47,12.38,12.23,0.002,0.002,0.002,0.001,0.001,0.016,0.01,0.005,0.045,0.046,0.049,0.03
"2021-06-24 20:15:00",18,0.009,-0.044,0.001,-0.003,12.52,12.67,12.63,12.51,12.75,11.53,12.51,12.27,0.003,0.002,0.002,0.002,0.011,0.016,0.02,0.011,0.07,0.05,0.062,0.039
"2021-06-24 20:30:00",19,0.01,-0.042,0.004,-0.002,12.49,12.63,12.63,12.46,12.76,11.54,12.59,12.24,0.003,0.003,0.002,0.002,0.014,0.015,0.01,0.02,0.077,0.061,0.064,0.039
"2021-06-24 20:45:00",20,0.013,-0.038,0.006,0,12.53,12.65,12.69,12.48,12.86,11.65,12.72,12.32,0.001,0.002,0.001,0.001,0.01,0.013,0.023,0.012,0.04,0.054,0.035,0.027
"2021-06-24 21:00:00",21,0.013,-0.039,0.004,-0.001,12.52,12.62,12.72,12.47,12.85,11.59,12.69,12.28,0.001,0.002,0.001,0.001,0.016,0.013,0.006,0.015,0.033,0.041,0.043,0.036
"2021-06-24 21:15:00",22,0.011,-0.046,0.001,-0.004,12.41,12.52,12.62,12.39,12.72,11.34,12.52,12.12,0.001,0.001,0.001,0.001,0.04,0.04,0.045,0.033,0.03,0.065,0.041,0.034
"2021-06-24 21:30:00",23,0.018,-0.045,0.005,-0.002,12.3,12.39,12.5,12.28,12.77,11.22,12.49,12.08,0.003,0.003,0.003,0.002,0.024,0.033,0.025,0.024,0.064,0.039,0.069,0.025
"2021-06-24 21:45:00",24,0.022,-0.038,0.007,0.002,12.31,12.34,12.6,12.26,12.9,11.33,12.65,12.14,0.001,0.002,0.001,0.001,0.018,0.01,0.049,0.007,0.031,0.029,0.031,0.022
"2021-06-24 22:00:00",25,0.019,-0.034,0.001,0.001,12.38,12.34,12.72,12.31,12.87,11.42,12.6,12.19,0.003,0.001,0.002,0.001,0.016,0.009,0.009,0.019,0.057,0.027,0.059,0.02
"2021-06-24 22:15:00",26,0.015,-0.033,0,0.001,12.42,12.37,12.73,12.38,12.83,11.48,12.59,12.24,0.002,0.001,0.001,0.001,0.02,0.019,0.016,0.03,0.035,0.038,0.032,0.03
"2021-06-24 22:30:00",27,0.011,-0.031,-0.002,-0.002,12.47,12.44,12.74,12.46,12.76,11.59,12.54,12.26,0.003,0.001,0.002,0.002,0.011,0.01,0.017,0.011,0.083,0.021,0.061,0.036
