"TOA5","Sanddune-Pen-2","CR1000","60956","CR1000.Std.28.02","CPU:FIELD_READY_PEN_1.CR1","36561","ATMOS14_Table"
"TIMESTAMP","RECORD","vaporPress_Avg","temperature_Avg","relativeHumidity_Avg","atmosphericPress_Avg","vaporPress_Max","temperature_Max","relativeHumidity_Max","atmosphericPress_Max","vaporPress_Min","temperature_Min","relativeHumidity_Min","atmosphericPress_Min","vaporPress_Std","temperature_Std","relativeHumidity_Std","atmosphericPress_Std"
"TS","RN","kPa","C","unitless","kPa","kPa","C","unitless","kPa","kPa","C","unitless","kPa","kPa","C","unitless","kPa"
"","","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Min","Min","Min","Min","Std","Std","Std","Std"
"1990-07-28 16:45:00",0,"NAN",0,0,0,"NAN",0,0,0,"NAN",0,0,0,"NAN",0,0,0
"2021-05-25 08:30:00",1,0.553,7.418,0.536,80.3,0.565,7.7,0.549,80.3,0.543,7,0.525,80.3,0.005,0.22,0.006,0.006
"2021-05-25 08:45:00",2,0.559,7.827,0.528,80.3,0.569,8.1,0.537,80.3,0.545,7.4,0.519,80.3,0.005,0.2,0.005,0.005
"2021-05-25 09:00:00",3,0.564,8.37,0.513,80.3,0.579,8.8,0.524,80.3,0.556,7.9,0.502,80.3,0.005,0.225,0.007,0.005
"2021-05-25 09:15:00",4,0.569,9.12,0.492,80.3,0.584,9.4,0.509,80.3,0.562,8.8,0.481,80.3,0.005,0.199,0.007,0.005
"2021-05-25 09:30:00",5,0.573,9.61,0.479,80.3,0.59,10.2,0.49,80.3,0.562,9.3,0.465,80.3,0.006,0.239,0.005,0.005
"2021-05-25 09:45:00",6,0.579,10.17,0.466,80.3,0.588,10.7,0.475,80.3,0.572,9.9,0.449,80.3,0.004,0.208,0.005,0.007
"2021-05-25 10:00:00",7,0.573,11.13,0.433,80.3,0.589,11.7,0.455,80.3,0.552,10.6,0.402,80.3,0.011,0.349,0.016,0.011
"2021-05-25 10:15:00",8,0.559,11.81,0.404,80.3,0.578,12.1,0.421,80.3,0.537,11.4,0.388,80.3,0.009,0.194,0.009,0.006
"2021-05-25 10:30:00",9,0.554,12.06,0.394,80.3,0.568,12.4,0.406,80.3,0.537,11.6,0.38,80.3,0.006,0.229,0.007,0.007
"2021-05-25 10:45:00",10,0.547,12.65,0.374,80.3,0.561,13,0.386,80.3,0.535,12.3,0.36,80.3,0.007,0.186,0.006,0.006
"2021-05-25 11:00:00",11,0.546,13.26,0.358,80.2,0.557,13.8,0.371,80.3,0.535,12.7,0.342,80.2,0.007,0.287,0.008,0.006
"2021-05-25 11:15:00",12,0.523,13.57,0.337,80.2,0.547,13.8,0.356,80.3,0.49,13.2,0.313,80.2,0.015,0.153,0.01,0.006
"2021-05-25 11:30:00",13,0.504,14.03,0.315,80.2,0.524,14.3,0.327,80.2,0.478,13.8,0.3,80.2,0.013,0.136,0.009,0.005
