"TOA5","Sanddune-Pen-2","CR1000","66462","CR1000.Std.32.03","CPU:FIELD_READY_PEN_2_06212021.CR1","30077","PAR_RAD_PRECIP"
"TIMESTAMP","RECORD","PAR_Den_Avg","PAR_Den_Max","PAR_Den_Min","PAR_Den_Std","PAR_Tot_Tot","TT_C_Avg","TT_C_Max","TT_C_Min","TT_C_Std","TT_C_2_Avg","TT_C_2_Max","TT_C_2_Min","TT_C_2_Std","TT_C_3_Avg","TT_C_3_Max","TT_C_3_Min","TT_C_3_Std","Rain_mm_Tot"
"TS","RN","umol/s/m^2","umol/s/m^2","umol/s/m^2","umol/s/m^2","mmol/m^2","","","","","","","","","","","","",""
"","","Avg","Max","Min","Std","Tot","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Tot"
"2021-06-23 13:30:00",0,1884,2241,1134,336.4,169.6038,34.58,35.73,32.89,0.944,32.85,34.07,31.23,0.958,34.78,36.06,33.12,0.954,0
"2021-06-23 13:45:00",1,1536,2151,1111,330.3,345.5282,34.63,36.66,33.12,1.161,32.82,34.58,31.31,1.126,"NAN","NAN","NAN","NAN",0
"2021-06-23 14:00:00",2,1607,2194,1002,440.2,361.5872,35.15,37.2,33.11,1.382,32.93,34.98,30.71,1.44,35.21,37.56,32.9,1.51,0
"2021-06-23 14:15:00",3,1252,1645,1021,154.1,281.7042,33.31,33.83,32.26,0.425,31.05,31.48,30.19,0.325,33.06,33.65,32.15,0.418,0
"2021-06-23 14:30:00",4,1013,1217,919,85.7,227.9522,32.11,32.98,31.41,0.461,30.07,30.82,29.41,0.406,31.83,32.71,30.93,0.549,0
"2021-06-23 14:45:00",5,1598,2516,964,537.7,359.5688,33.57,36.44,31.42,1.806,31.31,33.52,29.47,1.431,33.52,36.47,31.12,1.892,0
"2021-06-23 15:00:00",6,1015,1515,858,145.5,228.4724,32.32,34.59,31.16,0.799,30.15,32.26,29.27,0.628,32.13,34.81,30.94,0.871,0
"2021-06-23 15:15:00",7,848,962,775.1,65.21,190.8844,30.62,31.14,29.99,0.327,28.83,29.34,28.41,0.24,30.38,31.07,29.82,0.294,0
"2021-06-23 15:30:00",8,1012,1236,900,72.73,227.8103,31.11,31.5,30.78,0.176,29.18,29.51,28.89,0.163,30.82,31.21,30.41,0.213,0
"2021-06-23 15:45:00",9,1584,1931,1260,153.1,356.4548,32.97,34.18,31.52,0.636,30.59,31.39,29.64,0.411,32.77,34.27,31.32,0.689,0
"2021-06-24 12:30:00",0,2385,2436,2297,40.6,369.662,37.66,38.4,36.77,0.466,38.58,39.23,37.96,0.398,"NAN","NAN","NAN","NAN",0
"2021-06-23 13:30:00",0,1884,2241,1134,336.4,169.6038,34.58,35.73,32.89,0.944,32.85,34.07,31.23,0.958,34.78,36.06,33.12,0.954,0
"2021-06-23 13:45:00",1,1536,2151,1111,330.3,345.5282,34.63,36.66,33.12,1.161,32.82,34.58,31.31,1.126,"NAN","NAN","NAN","NAN",0
"2021-06-23 14:00:00",2,1607,2194,1002,440.2,361.5872,35.15,37.2,33.11,1.382,32.93,34.98,30.71,1.44,35.21,37.56,32.9,1.51,0
"2021-06-23 14:15:00",3,1252,1645,1021,154.1,281.7042,33.31,33.83,32.26,0.425,31.05,31.48,30.19,0.325,33.06,33.65,32.15,0.418,0
"2021-06-23 14:30:00",4,1013,1217,919,85.7,227.9522,32.11,32.98,31.41,0.461,30.07,30.82,29.41,0.406,31.83,32.71,30.93,0.549,0
"2021-06-23 14:45:00",5,1598,2516,964,537.7,359.5688,33.57,36.44,31.42,1.806,31.31,33.52,29.47,1.431,33.52,36.47,31.12,1.892,0
"2021-06-23 15:00:00",6,1015,1515,858,145.5,228.4724,32.32,34.59,31.16,0.799,30.15,32.26,29.27,0.628,32.13,34.81,30.94,0.871,0
"2021-06-23 15:15:00",7,848,962,775.1,65.21,190.8844,30.62,31.14,29.99,0.327,28.83,29.34,28.41,0.24,30.38,31.07,29.82,0.294,0
"2021-06-23 15:30:00",8,1012,1236,900,72.73,227.8103,31.11,31.5,30.78,0.176,29.18,29.51,28.89,0.163,30.82,31.21,30.41,0.213,0
"2021-06-23 15:45:00",9,1584,1931,1260,153.1,356.4548,32.97,34.18,31.52,0.636,30.59,31.39,29.64,0.411,32.77,34.27,31.32,0.689,0
"2021-06-23 16:00:00",10,1853,2116,999,320.1,416.9908,35.07,36.51,32.68,0.901,31.65,32.63,30.21,0.561,34.76,36.05,32.73,0.769,0
"2021-06-23 16:15:00",11,1158,1595,835,257.9,260.532,32,33.05,30.63,0.766,29.57,30.33,28.54,0.555,31.8,32.95,30.41,0.789,0
"2021-06-23 16:30:00",12,977,1298,846,156.4,219.9111,30.9,32.81,29.3,1.146,28.84,30.2,27.61,0.799,30.69,32.62,29.22,1.053,0
"2021-06-23 16:45:00",13,842,877,785.7,28.76,189.4878,29.3,29.68,28.84,0.239,27.74,28.08,27.33,0.197,29.25,29.72,28.76,0.24,0
"2021-06-23 17:00:00",14,684.7,784.9,602.1,64.96,154.0541,28.39,28.95,27.76,0.414,26.98,27.5,26.46,0.34,28.31,29.05,27.64,0.453,0
"2021-06-23 17:15:00",15,556.2,600.5,536,19.47,125.1515,27.5,27.86,27.17,0.244,26.33,26.6,26.08,0.174,27.46,27.83,27.12,0.228,0
"2021-06-23 17:30:00",16,461,545,417,35.95,103.7233,26.64,27.25,26.21,0.321,25.73,26.15,25.41,0.23,26.67,27.23,26.25,0.3,0
"2021-06-23 17:45:00",17,334.1,413.7,293.8,37.79,75.18056,25.67,26.12,25.35,0.228,25.04,25.38,24.77,0.185,25.75,26.23,25.43,0.224,0
"2021-06-23 18:00:00",18,325.5,355,302.7,18.5,73.24413,25.3,25.39,25.18,0.047,24.8,24.88,24.73,0.036,25.39,25.48,25.28,0.049,0
"2021-06-23 18:15:00",19,247.3,324,220.3,30.25,55.63519,24.71,25.1,24.47,0.167,24.2,24.69,23.92,0.209,24.81,25.27,24.54,0.168,0
"2021-06-23 18:30:00",20,202,219.5,191.8,8.2,45.45609,24,24.47,23.75,0.209,23.53,24.05,23.08,0.32,24.11,24.57,23.87,0.222,0
"2021-06-23 18:45:00",21,281.3,333,206.5,45.9,63.28301,24.58,28.54,23.72,0.995,23.46,23.67,23.17,0.12,23.96,24.17,23.78,0.096,0
"2021-06-23 19:00:00",22,293.4,320.7,266.9,19.26,66.01182,24.53,25.95,24.21,0.427,23,23.41,22.52,0.26,23.48,23.81,23.25,0.176,0
"2021-06-23 19:15:00",23,257.7,325.6,232.6,26.95,57.98621,24.12,24.29,23.93,0.115,22.37,22.69,21.99,0.18,23.01,23.33,22.68,0.206,0
"2021-06-23 19:30:00",24,233.6,266.9,201.6,15,52.56737,23.82,23.94,23.64,0.083,21.91,22.18,21.16,0.276,22.49,22.69,21.91,0.236,0
"2021-06-23 19:45:00",25,180.7,198.3,168.9,7.469,40.65572,23.38,23.71,23.01,0.217,20.61,21.09,20.1,0.301,21.1,21.86,20.72,0.338,0
"2021-06-23 20:00:00",26,187,212.2,166.5,10.03,42.0638,20.7,23.01,20.21,0.617,19.83,20.35,19.25,0.395,20.52,20.74,20.12,0.219,0
"2021-06-23 20:15:00",27,185.7,216.3,131.4,20.42,41.77464,20.11,20.3,19.75,0.117,19.52,19.77,19.16,0.144,19.83,20.08,19.55,0.133,0
"2021-06-23 20:30:00",28,92.1,129.8,58.77,22.51,20.71552,18.78,19.7,17.99,0.535,18.21,19.11,17.49,0.492,18.76,19.53,18.06,0.464,0
"2021-06-23 20:45:00",29,37.84,57.95,16.33,12.68,8.513549,17.7,17.96,17.28,0.169,17.43,17.68,17.2,0.123,17.83,18.06,17.48,0.141,0
"2021-06-23 21:00:00",30,7.746,15.51,3.265,3.769,1.742809,16.71,17.24,16.36,0.275,16.75,17.24,16.39,0.302,16.95,17.45,16.61,0.263,0
"2021-06-23 21:15:00",31,0.816,3.265,0,0.943,0.1836852,16.33,16.57,16.14,0.123,16.53,16.89,16.22,0.198,16.54,16.72,16.33,0.12,0
"2021-06-23 21:30:00",32,0,0,0,0,0,16.01,16.53,15.48,0.324,16.12,16.81,15.65,0.316,16.19,16.67,15.72,0.287,0
"2021-06-23 21:45:00",33,0,0,0,0,0,14.89,15.56,14.4,0.362,15.22,15.82,14.76,0.328,15.19,15.81,14.75,0.336,0
"2021-06-23 22:00:00",34,0,0,0,0,0,14.06,14.43,13.5,0.339,14.5,15.21,13.77,0.486,14.44,14.8,13.94,0.311,0
"2021-06-23 22:15:00",35,0,0,0,0,0,13.34,13.49,13,0.133,13.64,14.03,13.02,0.262,13.74,13.93,13.37,0.153,0
"2021-06-23 22:30:00",36,0,0,0,0,0,12.77,13,12.61,0.103,12.43,13.05,12.06,0.265,13.14,13.38,12.96,0.107,0
"2021-06-23 22:45:00",37,0,0,0,0,0,12.6,12.93,12.38,0.18,12.85,13.08,12.62,0.119,12.99,13.3,12.78,0.169,0
"2021-06-23 23:00:00",38,0,0,0,0,0,12.26,12.44,12.03,0.139,12.69,13.07,12.38,0.221,12.65,12.87,12.4,0.162,0
"2021-06-23 23:15:00",39,0,0,0,0,0,12.03,12.1,11.95,0.037,12.48,12.65,12.34,0.083,12.39,12.48,12.28,0.041,0
"2021-06-23 23:30:00",40,0,0,0,0,0,11.86,11.93,11.8,0.034,12.33,12.46,12.23,0.048,12.2,12.28,12.14,0.037,0
"2021-06-23 23:45:00",41,0,0,0,0,0,11.7,11.82,11.45,0.096,12.26,12.45,11.86,0.15,12.07,12.26,11.82,0.108,0
"2021-06-24 00:00:00",42,0,0,0,0,0,11.54,11.89,11.37,0.153,12.09,12.51,11.88,0.178,11.94,12.34,11.74,0.183,0
"2021-06-24 00:15:00",43,0,0,0,0,0,12.42,12.7,11.86,0.227,12.9,13.23,12.34,0.25,12.83,13.14,12.32,0.209,0
"2021-06-24 00:30:00",44,0,0,0,0,0,12.75,13.06,12.31,0.208,13.61,14.08,13.19,0.246,13.3,13.67,12.83,0.223,0
"2021-06-24 00:45:00",45,0,0,0,0,0,12.09,12.38,11.89,0.131,13.21,13.47,12.95,0.137,12.66,12.97,12.43,0.135,0
"2021-06-24 01:00:00",46,0,0,0,0,0,11.82,11.98,11.74,0.053,12.81,13.19,12.6,0.13,12.46,12.61,12.35,0.063,0
"2021-06-24 01:15:00",47,0,0,0,0,0,11.73,11.84,11.64,0.049,12.74,12.97,12.52,0.102,12.35,12.57,12.14,0.102,0
"2021-06-24 01:30:00",48,0,0,0,0,0,11.66,11.83,11.47,0.11,12.62,12.93,12.37,0.155,12.24,12.43,12,0.111,0
"2021-06-24 01:45:00",49,0,0,0,0,0,11.48,11.67,11.37,0.087,12.17,12.45,12.02,0.093,11.93,12.18,11.78,0.11,0
"2021-06-24 02:00:00",50,0,0,0,0,0,12.06,12.47,11.65,0.265,12.68,13.14,12.18,0.287,12.56,12.98,12.09,0.285,0
"2021-06-24 02:15:00",51,0,0,0,0,0,11.87,12.46,11.02,0.481,12.18,13.13,11.5,0.577,12.33,12.96,11.52,0.483,0
"2021-06-24 02:30:00",52,0,0,0,0,0,10.59,10.99,10.36,0.176,11.42,11.63,11.14,0.142,11,11.45,10.74,0.208,0
