"TOA5","Sanddune-Pen-2","CR1000","66462","CR1000.Std.32.03","CPU:FIELD_READY_PEN_2_06212021.CR1","30077","SI111"
"TIMESTAMP","RECORD","TmV_Avg(1)","TmV_Avg(2)","TmV_Avg(3)","SBTemp_Avg(1)","SBTemp_Avg(2)","SBTemp_Avg(3)","TargTemp_Avg(1)","TargTemp_Avg(2)","TargTemp_Avg(3)","TmV_Std(1)","TmV_Std(2)","TmV_Std(3)","SBTemp_Std(1)","SBTemp_Std(2)","SBTemp_Std(3)","TargTemp_Std(1)","TargTemp_Std(2)","TargTemp_Std(3)"
"TS","RN","","","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Std","Std","Std","Std","Std","Std","Std","Std","Std"
"2021-06-23 13:30:00",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 13:45:00",1,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 14:00:00",2,0.026,"NAN","NAN",30.57,-70.43,-70.61,31.02,"NAN","NAN",0.046,"NAN","NAN",0.337,0.073,0.334,0.955,"NAN","NAN"
"2021-06-23 14:15:00",3,-0.001,"NAN","NAN",30.02,-70.47,-70.58,29.88,"NAN","NAN",0.016,"NAN","NAN",0.163,0.074,0.066,0.261,"NAN","NAN"
"2021-06-23 14:30:00",4,-0.021,"NAN","NAN",29.52,-70.49,-70.57,28.95,"NAN","NAN",0.019,"NAN","NAN",0.193,0.058,0.069,0.512,"NAN","NAN"
"2021-06-23 14:45:00",5,0.043,"NAN","NAN",29.58,-70.49,-70.59,30.4,"NAN","NAN",0.039,"NAN","NAN",0.467,0.062,0.065,1.246,"NAN","NAN"
"2021-06-23 15:00:00",6,-0.015,"NAN","NAN",29.91,-70.51,-70.62,29.49,"NAN","NAN",0.022,"NAN","NAN",0.353,0.072,0.068,0.589,"NAN","NAN"
"2021-06-23 15:15:00",7,-0.015,"NAN","NAN",28.95,-70.52,-70.6,28.52,"NAN","NAN",0.013,"NAN","NAN",0.233,0.071,0.063,0.241,"NAN","NAN"
"2021-06-23 15:30:00",8,0.004,"NAN","NAN",28.9,-70.52,-70.62,28.87,"NAN","NAN",0.006,"NAN","NAN",0.092,0.068,0.074,0.185,"NAN","NAN"
"2021-06-23 15:45:00",9,0.036,"NAN","NAN",29.55,-70.48,-70.64,30.2,"NAN","NAN",0.097,"NAN","NAN",0.273,0.124,0.119,1.916,"NAN","NAN"
"2021-06-24 12:30:00",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-24 12:45:00",1,-0.113,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.01,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 13:30:00",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 13:45:00",1,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 14:00:00",2,0.026,"NAN","NAN",30.57,-70.43,-70.61,31.02,"NAN","NAN",0.046,"NAN","NAN",0.337,0.073,0.334,0.955,"NAN","NAN"
"2021-06-23 14:15:00",3,-0.001,"NAN","NAN",30.02,-70.47,-70.58,29.88,"NAN","NAN",0.016,"NAN","NAN",0.163,0.074,0.066,0.261,"NAN","NAN"
"2021-06-23 14:30:00",4,-0.021,"NAN","NAN",29.52,-70.49,-70.57,28.95,"NAN","NAN",0.019,"NAN","NAN",0.193,0.058,0.069,0.512,"NAN","NAN"
"2021-06-23 14:45:00",5,0.043,"NAN","NAN",29.58,-70.49,-70.59,30.4,"NAN","NAN",0.039,"NAN","NAN",0.467,0.062,0.065,1.246,"NAN","NAN"
"2021-06-23 15:00:00",6,-0.015,"NAN","NAN",29.91,-70.51,-70.62,29.49,"NAN","NAN",0.022,"NAN","NAN",0.353,0.072,0.068,0.589,"NAN","NAN"
"2021-06-23 15:15:00",7,-0.015,"NAN","NAN",28.95,-70.52,-70.6,28.52,"NAN","NAN",0.013,"NAN","NAN",0.233,0.071,0.063,0.241,"NAN","NAN"
"2021-06-23 15:30:00",8,0.004,"NAN","NAN",28.9,-70.52,-70.62,28.87,"NAN","NAN",0.006,"NAN","NAN",0.092,0.068,0.074,0.185,"NAN","NAN"
"2021-06-23 15:45:00",9,0.036,"NAN","NAN",29.55,-70.48,-70.64,30.2,"NAN","NAN",0.097,"NAN","NAN",0.273,0.124,0.119,1.916,"NAN","NAN"
"2021-06-23 16:00:00",10,"NAN","NAN","NAN",30.17,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.201,"NAN","NAN","NAN","NAN","NAN"
"2021-06-23 16:15:00",11,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 16:30:00",12,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 16:45:00",13,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 17:00:00",14,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 17:15:00",15,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 17:30:00",16,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 17:45:00",17,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 18:00:00",18,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 18:15:00",19,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 18:30:00",20,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 18:45:00",21,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 19:00:00",22,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 19:15:00",23,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 19:30:00",24,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 19:45:00",25,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 20:00:00",26,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 20:15:00",27,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 20:30:00",28,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 20:45:00",29,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 21:00:00",30,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 21:15:00",31,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 21:30:00",32,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 21:45:00",33,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 22:00:00",34,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 22:15:00",35,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 22:30:00",36,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 22:45:00",37,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 23:00:00",38,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-06-23 23:15:00",39,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
