"ID","Series","Repeat","Ambient Humidity","Ambient Temperature","Leaf Angle","Leaf Temp Differential","Light Intensity (PAR)","Phi2_250","PhiNO_250","PhiNPQ_250","time","Plant ID","Time of Day","User","Device ID","Latitude","Longitude","Issues"
2714695,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,14.60938,27.64,18.697,-1.6900000000000013,0,0.589,0.212,0.2,"05/18/2022 11:38 AM",6,11.637222222222222,"CRG","06:03:03:43",41.31262314,-105.58495715,""
2714694,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,15.50293,30.77,6.054,-1.0799999999999983,0.024,0.719,0.186,0.095,"05/18/2022 12:09 PM",27,12.1525,"CRG","06:03:03:43",41.31265364,-105.58504222,""
2714693,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,18.31543,28.05,12.579,-7.199999999999999,0.016,0.623,0.205,0.172,"05/19/2022 11:09 AM",6,11.158055555555556,"CRG","06:03:03:43",41.3126844,-105.5854644,""
2714667,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,20.5498,28.4,11.318,-1.5499999999999972,0.01,0.478,0.163,0.358,"05/18/2022 11:10 AM",23,11.174722222222222,"CRG","06:02:00:83",41.31262333333334,-105.58497666666666,""
2705226,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,14.95117,29.78,14.812,-5.109999999999999,1.547,0.555,0.138,0.307,"05/19/2022 11:43 AM",12,11.726944444444445,"CRG","41:00:12:f0",,,""
2705225,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,16.5791,30.72,5.071,-0.39000000000000057,0,0.523,0.179,0.298,"05/19/2022 11:48 AM",16,11.806111111111111,"CRG","06:02:00:83",41.312675000000006,-105.58499333333333,""
2705222,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,19.51172,29.09,4.449,-8.04,0.009,0.576,0.212,0.212,"05/19/2022 11:41 AM",33,11.687777777777779,"CRG","06:03:03:43",41.31263363,-105.58497364,""
2705219,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,16.55957,30.83,0.44,-5.359999999999999,0.016,0.547,0.198,0.255,"05/19/2022 11:40 AM",5,11.673888888888888,"CRG","06:02:00:83",41.31263333333333,-105.58495333333333,""
2705209,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,19.24023,29.7,7.271,-6.309999999999999,0.052,0.479,0.146,0.375,"05/19/2022 11:36 AM",21,11.608333333333333,"CRG","41:00:12:f0",,,""
2705203,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,15.5459,28.89,6.66,-1.1400000000000006,0.014,0.683,0.187,0.13,"05/19/2022 11:30 AM",4,11.505277777777778,"CRG","06:03:03:43",41.31264136,-105.58500527,""
2705202,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,17.50684,30.64,7.901,-1.6700000000000017,0.209,0.647,0.169,0.184,"05/19/2022 11:29 AM",2,11.48611111111111,"CRG","06:02:00:83",41.31266333333333,-105.58495333333333,""
2705197,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,15.70508,28.64,11.213,1.370000000000001,0.208,0.482,0.113,0.405,"05/19/2022 11:27 AM",27,11.45722222222222,"CRG","41:00:12:f0",,,""
2705195,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,16.26758,29,14.675,-5.27,1.233,0.586,0.223,0.192,"05/19/2022 11:23 AM",11,11.397222222222222,"CRG","06:03:03:43",41.31264805,-105.58497803,""
2705194,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,18.17383,30.34,4.609,-8.530000000000001,0,0.539,0.179,0.282,"05/19/2022 11:22 AM",22,11.37638888888889,"CRG","06:02:00:83",41.31265666666666,-105.584975,""
2705193,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,14.83496,28.07,15.567,-0.5399999999999991,0.211,0.55,0.137,0.313,"05/19/2022 11:20 AM",14,11.3475,"CRG","41:00:12:f0",,,""
2705190,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,17.64258,28.59,14.367,-5.68,0,0.568,0.204,0.227,"05/19/2022 11:16 AM",23,11.275555555555556,"CRG","06:03:03:43",41.31261578,-105.58503466,""
2705185,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,18.30664,29.81,7.326,-2,0.059,0.547,0.197,0.256,"05/19/2022 11:15 AM",29,11.263055555555555,"CRG","06:02:00:83",41.31260666666667,-105.585005,""
2705175,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,16.1748,28.03,10.178,-5.5,0,0.557,0.168,0.275,"05/19/2022 11:14 AM",8,11.238888888888889,"CRG","41:00:12:f0",,,""
2705155,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,23.125,28.71,7.462,0.4800000000000004,0.058,0.648,0.177,0.175,"05/19/2022 11:08 AM",19,11.145277777777777,"CRG","06:02:00:83",41.31262166666667,-105.58498499999999,""
2705150,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,16.52051,26.99,13.2,-3.9399999999999977,0,0.54,0.173,0.288,"05/19/2022 11:06 AM",25,11.105277777777777,"CRG","41:00:12:f0",,,""
2705138,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,20.33496,26.45,4.532,-2.7799999999999976,0.062,0.668,0.202,0.13,"05/19/2022 11:03 AM",3,11.051944444444445,"CRG","06:03:03:43",41.3126069,-105.58509145,""
2705135,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,21.22363,27.11,5.402,-1.5799999999999983,0.059,0.553,0.207,0.24,"05/19/2022 11:02 AM",15,11.036388888888888,"CRG","06:02:00:83",41.31260999999999,-105.58501999999999,""
2705130,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,18.30664,25.94,3.293,-0.5500000000000007,0.023,0.663,0.157,0.179,"05/19/2022 10:59 AM",26,10.990833333333333,"CRG","41:00:12:f0",,,""
2705122,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,22.24609,23.7,3.998,0.28999999999999915,0.054,0.689,0.218,0.093,"05/19/2022 10:55 AM",7,10.926944444444445,"CRG","06:03:03:43",41.31255975,-105.58498173,""
