Datum ID,Repeat,Plant ID,light_intensity,r,g,b,w,temperature,humidity,pressure,temperature2,humidity2,pressure2,contactless_temp,thickness,compass_direction,compass,angle,pitch,roll,time,Phi2_2000,PhiNPQ_2000,NPQt_2000,PhiNO_2000,qL_2000,FvP/Fm_2000_P,qP_2000,Phi2_1500,PhiNPQ_1500,NPQt_1500,PhiNO_1500,qL_1500,FvP/Fm_1500_P,qP_1500,Fm_2000_Prime,Fs_2000,Fo_2000_Prime,RFd,MPF_slope_2000,MPF_rsquared_2000,baseline,Light Intensity (PAR),Leaf Temp Differential,Ambient Temperature,Ambient Humidity,Leaf Angle,Fm_1500_Prime,Fs_1500,Fo_1500_Prime,MPF_slope_1500,MPF_rsquared_1500,order,Phi2_1000,PhiNPQ_1000,NPQt_1000,PhiNO_1000,qL_1000,FvP/Fm_1000_P,qP_1000,Fm_1000_Prime,Fs_1000,Fo_1000_Prime,MPF_slope_1000,MPF_rsquared_1000,Phi2_500,PhiNPQ_500,NPQt_500,PhiNO_500,qL_500,FvP/Fm_500_P,qP_500,Fm_500_Prime,Fs_500,Fo_500_Prime,MPF_slope_500,MPF_rsquared_500,Phi2_250,PhiNPQ_250,NPQt_250,PhiNO_250,qL_250,FvP/Fm_250_P,qP_250,Fm_250_Prime,Fs_250,Fo_250_Prime,MPF_slope_250,MPF_rsquared_250,LEF,messages,PhiNPQ_2000_MPF,npqt_2000_MPF,PhiNPQ_1500_MPF,npqt_1500_MPF,PhiNPQ_1000_MPF,npqt_1000_MPF,PhiNPQ_500_MPF,npqt_500_MPF,PhiNPQ_250_MPF,npqt_250_MPF,User,Device ID,Status,Notes,Latitude,Longitude
2714803,1,19,0,0,0,0,0,23.4,15.85742,781.09845,24.12,20.43457,781.5564,23.85,1.39,SE,205.78,14.776,-14.75,-0.88,12/20/21,0.14,0.645,2.987,0.216,0.133,0.55,0.254,0.177,0.668,4.295,0.155,0.233,0.48,0.369,1732.485,1490.7,779,1.744,-491782.829,-0.998,0,0,0.45,23.4,15.85742,14.776,1446.546,1190.7,753,-365229.37,-0.977,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.247,0.616,4.525,0.136,0.372,0.469,0.527,1436.157,1081,763,-309325.239,-0.857,0.482,0.354,2.152,0.164,0.601,0.608,0.793,2070.053,1072.3,812,-1206853.493,-0.999,0.636,0.162,0.798,0.203,0.642,0.731,0.87,3257.787,1187.3,877,-2625993.325,-0.998,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31267683,-105.5850939
2714802,1,41,0,1,1,1,1,24.13,16.80469,781.10126,25.01,24.46289,781.60345,24.19,1.27,W ,95.54,86.881,-16.69,-86.74,12/20/21,0.199,0.56,2.324,0.241,0.169,0.595,0.334,0.227,0.593,3.297,0.18,0.258,0.532,0.427,227.551,182.3,92,1.864,-109047.013,-0.955,0,0,0.06,24.13,16.80469,86.881,185.809,143.7,87,-76243.123,-0.878,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.315,0.53,3.413,0.155,0.416,0.525,0.6,187.413,128.3,89,-84804.811,-0.918,0.525,0.303,1.757,0.172,0.625,0.639,0.822,254.867,121,92,-193773.277,-0.981,0.651,0.147,0.726,0.202,0.659,0.739,0.881,386.612,135,101,-345511.509,-0.994,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.3126065,-105.5850536
2714801,1,35,0.072,1,0.2,0.2,1,25.1,18.83789,781.08789,26.3,26.40723,781.53265,26.05,0.46,E ,262.91,7.889,-6.76,-4.07,12/20/21,0.145,0.63,2.798,0.225,0.132,0.562,0.257,0.18,0.648,3.767,0.172,0.214,0.506,0.356,780.972,668,342,1.357,-239734.492,-0.989,0,0.072,0.95,25.1,18.83789,7.889,682.791,560,337,-163762.055,-0.973,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.253,0.593,3.846,0.154,0.336,0.502,0.504,698.457,522,348,-128136.494,-0.876,0.425,0.421,2.723,0.154,0.564,0.567,0.749,866.596,498.3,375,-119261.825,-0.741,0.576,0.237,1.268,0.187,0.631,0.683,0.843,1287.619,546.3,409,-248531.822,-0.766,0.019,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.3127416,-105.5857136
2714800,1,6,0.072,1.2,0.2,0.2,1,25.69,19.86816,781.11133,26.44,26.94336,781.52466,27.03,1.1,E ,251.78,15.604,-15.52,-1.6,12/21/21,0.232,0.513,2.007,0.256,0.186,0.619,0.374,0.291,0.509,2.544,0.2,0.298,0.579,0.503,293.254,225.3,112,1.72,-135046.265,-1,0,0.072,1.34,25.69,19.86816,15.604,261.462,185.3,110,-122752.964,-0.973,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.388,0.438,2.519,0.174,0.457,0.581,0.668,274.493,168,115,-132133.962,-0.975,0.56,0.24,1.196,0.2,0.572,0.69,0.812,402.139,177,125,-308137.358,-0.997,0.632,0.157,0.748,0.21,0.616,0.736,0.859,491.355,180.7,130,-355218.782,-0.991,0.02,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31273031,-105.5851316
2714799,1,23,0,0,0,0,0,13.85,42.86719,767.54456,15.62,45.38281,768.19232,15.31,1.21,SE,230.46,11.842,-10.95,4.53,12/24/21,0.163,0.518,1.627,0.318,0.105,0.65,0.251,0.228,0.563,2.699,0.209,0.224,0.569,0.401,1685.492,1410,590,1.818,-592049.43,-0.999,0,0,1.46,13.85,42.86719,11.842,1295.012,999.7,558,-538832.835,-0.998,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.328,0.49,2.701,0.182,0.371,0.569,0.577,1309.983,880,565,-655537.634,-0.996,0.556,0.238,1.154,0.206,0.552,0.694,0.801,1994.576,886.3,611,-1679911.785,-0.999,0.645,0.127,0.56,0.227,0.581,0.758,0.851,2641.045,937.3,640,-2541882.15,-0.998,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.312595,-105.5850589
2714798,1,1,0,1,1,1,1,16.18,41.53809,767.47351,18.73,42.83984,768.073,19.09,0.96,SE,217.68,3.929,-3.1,-2.41,12/24/21,0.186,0.5,1.594,0.314,0.122,0.653,0.285,0.257,0.527,2.433,0.216,0.243,0.587,0.438,1002.146,815.3,348,1.763,-405535.159,-0.996,0,0,2.91,16.18,41.53809,3.929,815.144,605.7,337,-418444.758,-0.995,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.401,0.385,1.803,0.214,0.385,0.635,0.632,951.112,569.3,347,-800708.079,-0.997,0.578,0.184,0.772,0.238,0.497,0.734,0.787,1403.721,593,374,-1467368.052,-0.997,0.638,0.114,0.459,0.248,0.527,0.77,0.829,1699.229,615,391,-1669605.133,-0.994,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31261872,-105.5850581
2714797,1,18,0.054,1,0.4,0.4,1,17.45,40.30078,767.62811,19.84,44.4873,768.1615,19.85,1.05,SE,245.36,10.728,-10.4,2.64,12/24/21,0.169,0.528,1.743,0.303,0.114,0.64,0.263,0.229,0.56,2.65,0.211,0.222,0.572,0.4,1482.988,1233,534,1.831,-545709.978,-0.997,0,0.054,2.4,17.45,40.30078,10.728,1203.604,928.3,515,-520387.444,-1,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.354,0.452,2.335,0.194,0.374,0.594,0.596,1292.807,835.3,525,-829470.998,-0.996,0.56,0.219,0.988,0.221,0.518,0.711,0.788,1963.645,864,568,-1808752.791,-0.995,0.647,0.109,0.448,0.244,0.543,0.771,0.839,2630.668,929.3,602,-2437978.191,-0.99,0.016,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31263929,-105.5850582
2714796,1,12,0,0.4,0.4,0.4,0.4,18.69,38.56055,767.44159,20.37,45.86035,767.98944,20.15,2.16,SE,206.42,8.448,-7.16,4.5,12/24/21,0.253,0.478,1.783,0.268,0.193,0.637,0.398,0.321,0.482,2.455,0.196,0.335,0.586,0.549,563.404,420.7,205,1.915,-289741.512,-0.998,0,0,1.46,18.69,38.56055,8.448,494.573,335.7,205,-290247.842,-0.999,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.427,0.383,2.02,0.19,0.461,0.618,0.691,588.039,337,225,-456492.001,-0.999,0.61,0.166,0.738,0.224,0.557,0.737,0.827,925.389,361,243,-1096498.964,-0.99,0.657,0.116,0.509,0.227,0.592,0.764,0.86,1066.73,366,252,-1173516.688,-0.992,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31259385,-105.5850206
2714794,1,10,0,0.8,0.8,0.8,0.8,19.52,38.40332,767.59406,20.86,45.53125,768.11584,20.91,0.78,NE,337.09,7.911,-5.81,5.38,12/24/21,0.16,0.574,2.161,0.266,0.123,0.607,0.263,0.217,0.591,3.088,0.191,0.233,0.544,0.399,1981.719,1665,779,1.639,-686801.991,-0.999,0,0,1.39,19.52,38.40332,7.911,1656.251,1296.3,755,-675934.63,-0.999,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.327,0.493,2.741,0.18,0.373,0.566,0.578,1799.397,1210.7,781,-996234.78,-1,0.529,0.263,1.268,0.208,0.523,0.683,0.775,2681.901,1262.3,851,-2235656.52,-0.997,0.621,0.152,0.673,0.227,0.562,0.745,0.834,3552.372,1346.3,907,-2952873.346,-0.996,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.3126605,-105.5850168
2714793,1,31,0,0,0,0,0,21.3,27.81152,771.76611,20.07,33.78418,772.22095,19.53,0.75,E ,250.28,10.238,-1.78,-10.08,1/6/22,0.136,0.543,1.697,0.32,0.087,0.644,0.212,0.207,0.568,2.526,0.225,0.189,0.581,0.357,841.751,727,300,1.716,-259571.988,-0.998,0,0,-1.77,21.3,27.81152,10.238,678.491,538,285,-266867.246,-0.997,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.308,0.49,2.428,0.202,0.313,0.587,0.524,699,483.7,288,-376302.164,-0.998,0.511,0.278,1.317,0.211,0.497,0.678,0.754,951.012,464.7,306,-751608.586,-0.996,0.632,0.129,0.54,0.239,0.542,0.76,0.831,1371.698,505,329,-1091997.583,-0.997,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31265225,-105.5849954
